Year,Replicate,Rotation,Nitrogen,Tillage,Species,Biomass_kg_ha
2015,3,ROT8,NIT2,TIL1,Corn,0
2011,3,ROT7,NIT2,TIL1,Soybean,0
2012,3,ROT7,NIT2,TIL1,Wheat,0
2013,3,ROT7,NIT2,TIL1,Corn,0
2014,3,ROT7,NIT2,TIL1,Soybean,0
2015,3,ROT7,NIT2,TIL1,Wheat,0
2011,3,ROT6,NIT2,TIL1,Corn,0
2012,3,ROT6,NIT2,TIL1,Soybean,0
2013,3,ROT6,NIT2,TIL1,Wheat,0
2014,3,ROT6,NIT2,TIL1,Corn,0
2015,3,ROT6,NIT2,TIL1,Soybean,0
2011,3,ROT4,NIT2,TIL1,Corn,0
2012,3,ROT4,NIT2,TIL1,Soybean,0
2013,3,ROT4,NIT2,TIL1,Corn,0
2014,3,ROT4,NIT2,TIL1,Soybean,0
2015,3,ROT4,NIT2,TIL1,Corn,0
2011,3,ROT5,NIT2,TIL1,Soybean,0
2012,3,ROT5,NIT2,TIL1,Corn,0
2013,3,ROT5,NIT2,TIL1,Soybean,0
2014,3,ROT5,NIT2,TIL1,Corn,0
2015,3,ROT5,NIT2,TIL1,Soybean,0
2011,3,ROT1,NIT2,TIL1,Corn,0
2012,3,ROT1,NIT2,TIL1,Corn,0
2013,3,ROT1,NIT2,TIL1,Corn,0
2014,3,ROT1,NIT2,TIL1,Corn,0
2015,3,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT2,TIL1,Corn,0
2013,1,ROT1,NIT2,TIL1,Corn,0
2014,1,ROT1,NIT2,TIL1,Corn,0
2015,1,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT2,TIL1,Corn,0
2013,1,ROT1,NIT2,TIL1,Corn,0
2014,1,ROT1,NIT2,TIL1,Corn,0
2015,1,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT2,TIL1,Corn,0
2013,1,ROT1,NIT2,TIL1,Corn,0
2014,1,ROT1,NIT2,TIL1,Corn,0
2015,1,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT3,TIL1,Corn,0
2013,1,ROT1,NIT3,TIL1,Corn,0
2014,1,ROT1,NIT3,TIL1,Corn,0
2015,1,ROT1,NIT3,TIL1,Corn,0
2012,1,ROT1,NIT3,TIL1,Corn,0
2013,1,ROT1,NIT3,TIL1,Corn,0
2014,1,ROT1,NIT3,TIL1,Corn,0
2015,1,ROT1,NIT3,TIL1,Corn,0
2012,2,ROT1,NIT2,TIL1,Corn,0
2013,2,ROT1,NIT2,TIL1,Corn,0
2014,2,ROT1,NIT2,TIL1,Corn,0
2015,2,ROT1,NIT2,TIL1,Corn,0
2012,2,ROT1,NIT2,TIL1,Corn,0
2013,2,ROT1,NIT2,TIL1,Corn,0
2014,2,ROT1,NIT2,TIL1,Corn,0
2015,2,ROT1,NIT2,TIL1,Corn,0
2012,2,ROT1,NIT3,TIL1,Corn,0
2013,2,ROT1,NIT3,TIL1,Corn,0
2014,2,ROT1,NIT3,TIL1,Corn,0
2015,2,ROT1,NIT3,TIL1,Corn,0
2012,2,ROT1,NIT3,TIL1,Corn,0
2013,2,ROT1,NIT3,TIL1,Corn,0
2014,2,ROT1,NIT3,TIL1,Corn,0
2015,2,ROT1,NIT3,TIL1,Corn,0
2012,2,ROT1,NIT2,TIL1,Corn,0
2013,2,ROT1,NIT2,TIL1,Corn,0
2014,2,ROT1,NIT2,TIL1,Corn,0
2015,2,ROT1,NIT2,TIL1,Corn,0
2012,3,ROT1,NIT3,TIL1,Corn,0
2013,3,ROT1,NIT3,TIL1,Corn,0
2014,3,ROT1,NIT3,TIL1,Corn,0
2015,3,ROT1,NIT3,TIL1,Corn,0
2012,3,ROT1,NIT3,TIL1,Corn,0
2013,3,ROT1,NIT3,TIL1,Corn,0
2014,3,ROT1,NIT3,TIL1,Corn,0
2015,3,ROT1,NIT3,TIL1,Corn,0
2012,3,ROT1,NIT2,TIL1,Corn,0
2013,3,ROT1,NIT2,TIL1,Corn,0
2014,3,ROT1,NIT2,TIL1,Corn,0
2015,3,ROT1,NIT2,TIL1,Corn,0
2012,3,ROT1,NIT2,TIL1,Corn,0
2013,3,ROT1,NIT2,TIL1,Corn,0
2014,3,ROT1,NIT2,TIL1,Corn,0
2015,3,ROT1,NIT2,TIL1,Corn,0
2012,3,ROT1,NIT2,TIL1,Corn,0
2013,3,ROT1,NIT2,TIL1,Corn,0
2014,3,ROT1,NIT2,TIL1,Corn,0
2015,3,ROT1,NIT2,TIL1,Corn,0
2012,4,ROT1,NIT3,TIL1,Corn,0
2013,4,ROT1,NIT3,TIL1,Corn,0
2014,4,ROT1,NIT3,TIL1,Corn,0
2015,4,ROT1,NIT3,TIL1,Corn,0
2012,4,ROT1,NIT2,TIL1,Corn,0
2013,4,ROT1,NIT2,TIL1,Corn,0
2014,4,ROT1,NIT2,TIL1,Corn,0
2015,4,ROT1,NIT2,TIL1,Corn,0
2012,4,ROT1,NIT2,TIL1,Corn,0
2013,4,ROT1,NIT2,TIL1,Corn,0
2014,4,ROT1,NIT2,TIL1,Corn,0
2015,4,ROT1,NIT2,TIL1,Corn,0
2012,4,ROT1,NIT2,TIL1,Corn,0
2013,4,ROT1,NIT2,TIL1,Corn,0
2014,4,ROT1,NIT2,TIL1,Corn,0
2015,4,ROT1,NIT2,TIL1,Corn,0
2012,4,ROT1,NIT3,TIL1,Corn,0
2013,4,ROT1,NIT3,TIL1,Corn,0
2014,4,ROT1,NIT3,TIL1,Corn,0
2015,4,ROT1,NIT3,TIL1,Corn,0
2011,1,ROT38,NIT1,TIL2,Corn w/ Rye,0
2012,1,ROT38,NIT1,TIL2,Corn w/ Rye,0
2013,1,ROT38,NIT1,TIL2,Corn w/ Rye,0
2014,1,ROT38,NIT1,TIL2,Corn w/ Rye,0
2015,1,ROT38,NIT1,TIL2,Corn w/ Rye,0
2011,1,ROT38,NIT4,TIL2,Corn w/ Rye,0
2012,1,ROT38,NIT4,TIL2,Corn w/ Rye,0
2013,1,ROT38,NIT4,TIL2,Corn w/ Rye,0
2014,1,ROT38,NIT4,TIL2,Corn w/ Rye,0
2015,1,ROT38,NIT4,TIL2,Corn w/ Rye,0
2011,1,ROT1,NIT2,TIL1,Corn,0
2012,1,ROT1,NIT2,TIL1,Corn,0
2013,1,ROT1,NIT2,TIL1,Corn,0
2014,1,ROT1,NIT2,TIL1,Corn,0
2015,1,ROT1,NIT2,TIL1,Corn,0
2011,1,ROT1,NIT4,TIL2,Corn,0
2012,1,ROT1,NIT4,TIL2,Corn,0
2013,1,ROT1,NIT4,TIL2,Corn,0
2014,1,ROT1,NIT4,TIL2,Corn,0
2015,1,ROT1,NIT4,TIL2,Corn,0
2011,1,ROT38,NIT2,TIL1,Corn w/ Rye,0
2012,1,ROT38,NIT2,TIL1,Corn w/ Rye,0
2013,1,ROT38,NIT2,TIL1,Corn w/ Rye,0
2014,1,ROT38,NIT2,TIL1,Corn w/ Rye,0
2015,1,ROT38,NIT2,TIL1,Corn w/ Rye,0
2011,1,ROT1,NIT1,TIL1,Corn,0
2012,1,ROT1,NIT1,TIL1,Corn,0
2013,1,ROT1,NIT1,TIL1,Corn,0
2014,1,ROT1,NIT1,TIL1,Corn,0
2015,1,ROT1,NIT1,TIL1,Corn,0
2011,1,ROT38,NIT3,TIL2,Corn w/ Rye,0
2012,1,ROT38,NIT3,TIL2,Corn w/ Rye,0
2013,1,ROT38,NIT3,TIL2,Corn w/ Rye,0
2014,1,ROT38,NIT3,TIL2,Corn w/ Rye,0
2015,1,ROT38,NIT3,TIL2,Corn w/ Rye,0
2011,1,ROT38,NIT2,TIL2,Corn w/ Rye,0
2012,1,ROT38,NIT2,TIL2,Corn w/ Rye,0
2013,1,ROT38,NIT2,TIL2,Corn w/ Rye,0
2014,1,ROT38,NIT2,TIL2,Corn w/ Rye,0
2015,1,ROT38,NIT2,TIL2,Corn w/ Rye,0
2011,1,ROT1,NIT3,TIL2,Corn,0
2012,1,ROT1,NIT3,TIL2,Corn,0
2013,1,ROT1,NIT3,TIL2,Corn,0
2014,1,ROT1,NIT3,TIL2,Corn,0
2015,1,ROT1,NIT3,TIL2,Corn,0
2011,1,ROT38,NIT3,TIL1,Corn w/ Rye,0
2012,1,ROT38,NIT3,TIL1,Corn w/ Rye,0
2013,1,ROT38,NIT3,TIL1,Corn w/ Rye,0
2014,1,ROT38,NIT3,TIL1,Corn w/ Rye,0
2015,1,ROT38,NIT3,TIL1,Corn w/ Rye,0
2011,1,ROT1,NIT2,TIL2,Corn,0
2012,1,ROT1,NIT2,TIL2,Corn,0
2013,1,ROT1,NIT2,TIL2,Corn,0
2014,1,ROT1,NIT2,TIL2,Corn,0
2015,1,ROT1,NIT2,TIL2,Corn,0
2011,1,ROT1,NIT4,TIL1,Corn,0
2012,1,ROT1,NIT4,TIL1,Corn,0
2013,1,ROT1,NIT4,TIL1,Corn,0
2014,1,ROT1,NIT4,TIL1,Corn,0
2015,1,ROT1,NIT4,TIL1,Corn,0
2011,1,ROT1,NIT3,TIL1,Corn,0
2012,1,ROT1,NIT3,TIL1,Corn,0
2013,1,ROT1,NIT3,TIL1,Corn,0
2014,1,ROT1,NIT3,TIL1,Corn,0
2015,1,ROT1,NIT3,TIL1,Corn,0
2011,1,ROT38,NIT4,TIL1,Corn w/ Rye,0
2012,1,ROT38,NIT4,TIL1,Corn w/ Rye,0
2013,1,ROT38,NIT4,TIL1,Corn w/ Rye,0
2014,1,ROT38,NIT4,TIL1,Corn w/ Rye,0
2015,1,ROT38,NIT4,TIL1,Corn w/ Rye,0
2011,1,ROT38,NIT1,TIL1,Corn w/ Rye,0
2012,1,ROT38,NIT1,TIL1,Corn w/ Rye,0
2013,1,ROT38,NIT1,TIL1,Corn w/ Rye,0
2014,1,ROT38,NIT1,TIL1,Corn w/ Rye,0
2015,1,ROT38,NIT1,TIL1,Corn w/ Rye,0
2011,1,ROT1,NIT1,TIL2,Corn,0
2012,1,ROT1,NIT1,TIL2,Corn,0
2013,1,ROT1,NIT1,TIL2,Corn,0
2014,1,ROT1,NIT1,TIL2,Corn,0
2015,1,ROT1,NIT1,TIL2,Corn,0
2011,2,ROT38,NIT2,TIL1,Corn w/ Rye,0
2012,2,ROT38,NIT2,TIL1,Corn w/ Rye,0
2013,2,ROT38,NIT2,TIL1,Corn w/ Rye,0
2014,2,ROT38,NIT2,TIL1,Corn w/ Rye,0
2015,2,ROT38,NIT2,TIL1,Corn w/ Rye,0
2011,2,ROT1,NIT3,TIL1,Corn,0
2012,2,ROT1,NIT3,TIL1,Corn,0
2013,2,ROT1,NIT3,TIL1,Corn,0
2014,2,ROT1,NIT3,TIL1,Corn,0
2015,2,ROT1,NIT3,TIL1,Corn,0
2011,2,ROT1,NIT3,TIL2,Corn,0
2012,2,ROT1,NIT3,TIL2,Corn,0
2013,2,ROT1,NIT3,TIL2,Corn,0
2014,2,ROT1,NIT3,TIL2,Corn,0
2015,2,ROT1,NIT3,TIL2,Corn,0
2011,2,ROT1,NIT4,TIL2,Corn,0
2012,2,ROT1,NIT4,TIL2,Corn,0
2013,2,ROT1,NIT4,TIL2,Corn,0
2014,2,ROT1,NIT4,TIL2,Corn,0
2015,2,ROT1,NIT4,TIL2,Corn,0
2011,2,ROT38,NIT3,TIL1,Corn w/ Rye,0
2012,2,ROT38,NIT3,TIL1,Corn w/ Rye,0
2013,2,ROT38,NIT3,TIL1,Corn w/ Rye,0
2014,2,ROT38,NIT3,TIL1,Corn w/ Rye,0
2015,2,ROT38,NIT3,TIL1,Corn w/ Rye,0
2011,2,ROT1,NIT2,TIL1,Corn,0
2012,2,ROT1,NIT2,TIL1,Corn,0
2013,2,ROT1,NIT2,TIL1,Corn,0
2014,2,ROT1,NIT2,TIL1,Corn,0
2015,2,ROT1,NIT2,TIL1,Corn,0
2011,2,ROT1,NIT4,TIL1,Corn,0
2012,2,ROT1,NIT4,TIL1,Corn,0
2013,2,ROT1,NIT4,TIL1,Corn,0
2014,2,ROT1,NIT4,TIL1,Corn,0
2015,2,ROT1,NIT4,TIL1,Corn,0
2011,2,ROT38,NIT1,TIL1,Corn w/ Rye,0
2012,2,ROT38,NIT1,TIL1,Corn w/ Rye,0
2013,2,ROT38,NIT1,TIL1,Corn w/ Rye,0
2014,2,ROT38,NIT1,TIL1,Corn w/ Rye,0
2015,2,ROT38,NIT1,TIL1,Corn w/ Rye,0
2011,2,ROT1,NIT1,TIL1,Corn,0
2012,2,ROT1,NIT1,TIL1,Corn,0
2013,2,ROT1,NIT1,TIL1,Corn,0
2014,2,ROT1,NIT1,TIL1,Corn,0
2015,2,ROT1,NIT1,TIL1,Corn,0
2011,2,ROT1,NIT2,TIL2,Corn,0
2012,2,ROT1,NIT2,TIL2,Corn,0
2013,2,ROT1,NIT2,TIL2,Corn,0
2014,2,ROT1,NIT2,TIL2,Corn,0
2015,2,ROT1,NIT2,TIL2,Corn,0
2011,2,ROT38,NIT2,TIL2,Corn w/ Rye,0
2012,2,ROT38,NIT2,TIL2,Corn w/ Rye,0
2013,2,ROT38,NIT2,TIL2,Corn w/ Rye,0
2014,2,ROT38,NIT2,TIL2,Corn w/ Rye,0
2015,2,ROT38,NIT2,TIL2,Corn w/ Rye,0
2011,2,ROT1,NIT1,TIL2,Corn,0
2012,2,ROT1,NIT1,TIL2,Corn,0
2013,2,ROT1,NIT1,TIL2,Corn,0
2014,2,ROT1,NIT1,TIL2,Corn,0
2015,2,ROT1,NIT1,TIL2,Corn,0
2011,2,ROT38,NIT4,TIL2,Corn w/ Rye,0
2012,2,ROT38,NIT4,TIL2,Corn w/ Rye,0
2013,2,ROT38,NIT4,TIL2,Corn w/ Rye,0
2014,2,ROT38,NIT4,TIL2,Corn w/ Rye,0
2015,2,ROT38,NIT4,TIL2,Corn w/ Rye,0
2011,2,ROT38,NIT1,TIL2,Corn w/ Rye,0
2012,2,ROT38,NIT1,TIL2,Corn w/ Rye,0
2013,2,ROT38,NIT1,TIL2,Corn w/ Rye,0
2014,2,ROT38,NIT1,TIL2,Corn w/ Rye,0
2015,2,ROT38,NIT1,TIL2,Corn w/ Rye,0
2011,2,ROT38,NIT4,TIL1,Corn w/ Rye,0
2012,2,ROT38,NIT4,TIL1,Corn w/ Rye,0
2013,2,ROT38,NIT4,TIL1,Corn w/ Rye,0
2014,2,ROT38,NIT4,TIL1,Corn w/ Rye,0
2015,2,ROT38,NIT4,TIL1,Corn w/ Rye,0
2011,2,ROT38,NIT3,TIL2,Corn w/ Rye,0
2012,2,ROT38,NIT3,TIL2,Corn w/ Rye,0
2013,2,ROT38,NIT3,TIL2,Corn w/ Rye,0
2014,2,ROT38,NIT3,TIL2,Corn w/ Rye,0
2015,2,ROT38,NIT3,TIL2,Corn w/ Rye,0
2011,3,ROT1,NIT2,TIL1,Corn,0
2012,3,ROT1,NIT2,TIL1,Corn,0
2013,3,ROT1,NIT2,TIL1,Corn,0
2014,3,ROT1,NIT2,TIL1,Corn,0
2015,3,ROT1,NIT2,TIL1,Corn,0
2011,3,ROT1,NIT3,TIL1,Corn,0
2012,3,ROT1,NIT3,TIL1,Corn,0
2013,3,ROT1,NIT3,TIL1,Corn,0
2014,3,ROT1,NIT3,TIL1,Corn,0
2015,3,ROT1,NIT3,TIL1,Corn,0
2011,3,ROT1,NIT2,TIL2,Corn,0
2012,3,ROT1,NIT2,TIL2,Corn,0
2013,3,ROT1,NIT2,TIL2,Corn,0
2014,3,ROT1,NIT2,TIL2,Corn,0
2015,3,ROT1,NIT2,TIL2,Corn,0
2011,3,ROT38,NIT3,TIL1,Corn w/ Rye,0
2012,3,ROT38,NIT3,TIL1,Corn w/ Rye,0
2013,3,ROT38,NIT3,TIL1,Corn w/ Rye,0
2014,3,ROT38,NIT3,TIL1,Corn w/ Rye,0
2015,3,ROT38,NIT3,TIL1,Corn w/ Rye,0
2011,3,ROT38,NIT2,TIL2,Corn w/ Rye,0
2012,3,ROT38,NIT2,TIL2,Corn w/ Rye,0
2013,3,ROT38,NIT2,TIL2,Corn w/ Rye,0
2014,3,ROT38,NIT2,TIL2,Corn w/ Rye,0
2015,3,ROT38,NIT2,TIL2,Corn w/ Rye,0
2011,3,ROT38,NIT4,TIL2,Corn w/ Rye,0
2012,3,ROT38,NIT4,TIL2,Corn w/ Rye,0
2013,3,ROT38,NIT4,TIL2,Corn w/ Rye,0
2014,3,ROT38,NIT4,TIL2,Corn w/ Rye,0
2015,3,ROT38,NIT4,TIL2,Corn w/ Rye,0
2011,3,ROT1,NIT4,TIL2,Corn,0
2012,3,ROT1,NIT4,TIL2,Corn,0
2013,3,ROT1,NIT4,TIL2,Corn,0
2014,3,ROT1,NIT4,TIL2,Corn,0
2015,3,ROT1,NIT4,TIL2,Corn,0
2011,3,ROT1,NIT4,TIL1,Corn,0
2012,3,ROT1,NIT4,TIL1,Corn,0
2013,3,ROT1,NIT4,TIL1,Corn,0
2014,3,ROT1,NIT4,TIL1,Corn,0
2015,3,ROT1,NIT4,TIL1,Corn,0
2011,3,ROT38,NIT1,TIL2,Corn w/ Rye,0
2012,3,ROT38,NIT1,TIL2,Corn w/ Rye,0
2013,3,ROT38,NIT1,TIL2,Corn w/ Rye,0
2014,3,ROT38,NIT1,TIL2,Corn w/ Rye,0
2015,3,ROT38,NIT1,TIL2,Corn w/ Rye,0
2011,3,ROT38,NIT1,TIL1,Corn w/ Rye,0
2012,3,ROT38,NIT1,TIL1,Corn w/ Rye,0
2013,3,ROT38,NIT1,TIL1,Corn w/ Rye,0
2014,3,ROT38,NIT1,TIL1,Corn w/ Rye,0
2015,3,ROT38,NIT1,TIL1,Corn w/ Rye,0
2011,3,ROT38,NIT4,TIL1,Corn w/ Rye,0
2012,3,ROT38,NIT4,TIL1,Corn w/ Rye,0
2013,3,ROT38,NIT4,TIL1,Corn w/ Rye,0
2014,3,ROT38,NIT4,TIL1,Corn w/ Rye,0
2015,3,ROT38,NIT4,TIL1,Corn w/ Rye,0
2011,3,ROT1,NIT1,TIL2,Corn,0
2012,3,ROT1,NIT1,TIL2,Corn,0
2013,3,ROT1,NIT1,TIL2,Corn,0
2014,3,ROT1,NIT1,TIL2,Corn,0
2015,3,ROT1,NIT1,TIL2,Corn,0
2011,3,ROT1,NIT3,TIL2,Corn,0
2012,3,ROT1,NIT3,TIL2,Corn,0
2013,3,ROT1,NIT3,TIL2,Corn,0
2014,3,ROT1,NIT3,TIL2,Corn,0
2015,3,ROT1,NIT3,TIL2,Corn,0
2011,3,ROT1,NIT1,TIL1,Corn,0
2012,3,ROT1,NIT1,TIL1,Corn,0
2013,3,ROT1,NIT1,TIL1,Corn,0
2014,3,ROT1,NIT1,TIL1,Corn,0
2015,3,ROT1,NIT1,TIL1,Corn,0
2011,3,ROT38,NIT2,TIL1,Corn w/ Rye,0
2012,3,ROT38,NIT2,TIL1,Corn w/ Rye,0
2013,3,ROT38,NIT2,TIL1,Corn w/ Rye,0
2014,3,ROT38,NIT2,TIL1,Corn w/ Rye,0
2015,3,ROT38,NIT2,TIL1,Corn w/ Rye,0
2011,3,ROT38,NIT3,TIL2,Corn w/ Rye,0
2012,3,ROT38,NIT3,TIL2,Corn w/ Rye,0
2013,3,ROT38,NIT3,TIL2,Corn w/ Rye,0
2014,3,ROT38,NIT3,TIL2,Corn w/ Rye,0
2015,3,ROT38,NIT3,TIL2,Corn w/ Rye,0
2011,4,ROT1,NIT2,TIL1,Corn,0
2012,4,ROT1,NIT2,TIL1,Corn,0
2013,4,ROT1,NIT2,TIL1,Corn,0
2014,4,ROT1,NIT2,TIL1,Corn,0
2015,4,ROT1,NIT2,TIL1,Corn,0
2011,4,ROT1,NIT1,TIL1,Corn,0
2012,4,ROT1,NIT1,TIL1,Corn,0
2013,4,ROT1,NIT1,TIL1,Corn,0
2014,4,ROT1,NIT1,TIL1,Corn,0
2015,4,ROT1,NIT1,TIL1,Corn,0
2011,4,ROT38,NIT3,TIL1,Corn w/ Rye,0
2012,4,ROT38,NIT3,TIL1,Corn w/ Rye,0
2013,4,ROT38,NIT3,TIL1,Corn w/ Rye,0
2014,4,ROT38,NIT3,TIL1,Corn w/ Rye,0
2015,4,ROT38,NIT3,TIL1,Corn w/ Rye,0
2011,4,ROT38,NIT1,TIL1,Corn w/ Rye,0
2012,4,ROT38,NIT1,TIL1,Corn w/ Rye,0
2013,4,ROT38,NIT1,TIL1,Corn w/ Rye,0
2014,4,ROT38,NIT1,TIL1,Corn w/ Rye,0
2015,4,ROT38,NIT1,TIL1,Corn w/ Rye,0
2011,4,ROT38,NIT2,TIL2,Corn w/ Rye,0
2012,4,ROT38,NIT2,TIL2,Corn w/ Rye,0
2013,4,ROT38,NIT2,TIL2,Corn w/ Rye,0
2014,4,ROT38,NIT2,TIL2,Corn w/ Rye,0
2015,4,ROT38,NIT2,TIL2,Corn w/ Rye,0
2011,4,ROT38,NIT2,TIL1,Corn w/ Rye,0
2012,4,ROT38,NIT2,TIL1,Corn w/ Rye,0
2013,4,ROT38,NIT2,TIL1,Corn w/ Rye,0
2014,4,ROT38,NIT2,TIL1,Corn w/ Rye,0
2015,4,ROT38,NIT2,TIL1,Corn w/ Rye,0
2011,4,ROT1,NIT3,TIL2,Corn,0
2012,4,ROT1,NIT3,TIL2,Corn,0
2013,4,ROT1,NIT3,TIL2,Corn,0
2014,4,ROT1,NIT3,TIL2,Corn,0
2015,4,ROT1,NIT3,TIL2,Corn,0
2011,4,ROT1,NIT1,TIL2,Corn,0
2012,4,ROT1,NIT1,TIL2,Corn,0
2013,4,ROT1,NIT1,TIL2,Corn,0
2014,4,ROT1,NIT1,TIL2,Corn,0
2015,4,ROT1,NIT1,TIL2,Corn,0
2011,4,ROT38,NIT3,TIL2,Corn w/ Rye,0
2012,4,ROT38,NIT3,TIL2,Corn w/ Rye,0
2013,4,ROT38,NIT3,TIL2,Corn w/ Rye,0
2014,4,ROT38,NIT3,TIL2,Corn w/ Rye,0
2015,4,ROT38,NIT3,TIL2,Corn w/ Rye,0
2011,4,ROT38,NIT4,TIL2,Corn w/ Rye,0
2012,4,ROT38,NIT4,TIL2,Corn w/ Rye,0
2013,4,ROT38,NIT4,TIL2,Corn w/ Rye,0
2014,4,ROT38,NIT4,TIL2,Corn w/ Rye,0
2015,4,ROT38,NIT4,TIL2,Corn w/ Rye,0
2011,4,ROT1,NIT4,TIL1,Corn,0
2012,4,ROT1,NIT4,TIL1,Corn,0
2013,4,ROT1,NIT4,TIL1,Corn,0
2014,4,ROT1,NIT4,TIL1,Corn,0
2015,4,ROT1,NIT4,TIL1,Corn,0
2011,4,ROT38,NIT4,TIL1,Corn w/ Rye,0
2012,4,ROT38,NIT4,TIL1,Corn w/ Rye,0
2013,4,ROT38,NIT4,TIL1,Corn w/ Rye,0
2014,4,ROT38,NIT4,TIL1,Corn w/ Rye,0
2015,4,ROT38,NIT4,TIL1,Corn w/ Rye,0
2011,4,ROT38,NIT1,TIL2,Corn w/ Rye,0
2012,4,ROT38,NIT1,TIL2,Corn w/ Rye,0
2013,4,ROT38,NIT1,TIL2,Corn w/ Rye,0
2014,4,ROT38,NIT1,TIL2,Corn w/ Rye,0
2015,4,ROT38,NIT1,TIL2,Corn w/ Rye,0
2011,4,ROT1,NIT3,TIL1,Corn,0
2012,4,ROT1,NIT3,TIL1,Corn,0
2013,4,ROT1,NIT3,TIL1,Corn,0
2014,4,ROT1,NIT3,TIL1,Corn,0
2015,4,ROT1,NIT3,TIL1,Corn,0
2011,4,ROT1,NIT4,TIL2,Corn,0
2012,4,ROT1,NIT4,TIL2,Corn,0
2013,4,ROT1,NIT4,TIL2,Corn,0
2014,4,ROT1,NIT4,TIL2,Corn,0
2015,4,ROT1,NIT4,TIL2,Corn,0
2011,4,ROT1,NIT2,TIL2,Corn,0
2012,4,ROT1,NIT2,TIL2,Corn,0
2013,4,ROT1,NIT2,TIL2,Corn,0
2014,4,ROT1,NIT2,TIL2,Corn,0
2015,4,ROT1,NIT2,TIL2,Corn,0
2011,1,ROT5,NIT1,TIL1,Soybean,0
2012,1,ROT5,NIT1,TIL1,Corn,0
2013,1,ROT5,NIT1,TIL1,Soybean,0
2014,1,ROT5,NIT1,TIL1,Corn,0
2015,1,ROT5,NIT1,TIL1,Soybean,0
2011,1,ROT36,NIT4,TIL1,Corn w/ Rye,0
