# Cover Crop Biomass
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/41
# The newest version of the data https://lter.kbs.msu.edu/datatables/41.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/22.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of the growing season relevant for the sample
# campaign		a major multi-year research activity with a discreet purpose
# date		date on which sampling occured
# treatment		main experimental treatment
# replicate		replicate block, nested within treatment
# station		replicate station, nested within block
# species		species collected
# biomass_g	gramsPerSquareMeter	dry mass of sampled material in grams/meter squared
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#<p>Cover crops such as vetch and clover are planted after a row crop, such as wheat or corn, and are left on the field over winter.  Usually they are plowed down the following spring.  Their productivity represents parts of two growing seasons in different calendar years.  Thus, assignment to a calendar year is somewhat ambiguous.  Fescue in T5, while technically a cover crop, is not plowed down.</p><p>In 2002 the cover crops were mistakenly plowed in before a biomass sample could be taken. So there is no cover crop biomass data available for 2002.</p>
#
#* 2016-1-30 Sven Bohm. No evidence of cover harvest in 2001 and 2002. 2002 was plowed down as noted above. 
#* 2016-1-30 Sven Bohm. 2004 sample might have been taken before the plots were flail mowed that fall, but the cover was not plowed in until 2005. And were sampled again at that time.
#
year,campaign,date,treatment,replicate,station,species,biomass_g
2021,Cover Harvest,2021-05-05,T3,R2,S3,Secale cereale M.Bieb.,22.919999999999998
2021,Cover Harvest,2021-05-05,T3,R2,S4,Secale cereale M.Bieb.,32.194
2021,Cover Harvest,2021-05-05,T3,R2,S5,Secale cereale M.Bieb.,42.294
2021,Cover Harvest,2021-05-05,T3,R3,S1,Secale cereale M.Bieb.,50.95400000000001
2020,Cover Harvest,2020-05-12,T4,R1,S1,Trifolium pratense L.,206.93400000000003
2020,Cover Harvest,2020-05-12,T4,R1,S2,Trifolium pratense L.,103.254
2020,Cover Harvest,2020-05-12,T4,R1,S3,Trifolium pratense L.,90.774
2020,Cover Harvest,2020-05-12,T4,R1,S4,Trifolium pratense L.,182.66000000000003
2020,Cover Harvest,2020-05-12,T4,R1,S5,Trifolium pratense L.,148.05399999999997
2020,Cover Harvest,2020-05-12,T4,R2,S1,Trifolium pratense L.,104.11999999999999
2020,Cover Harvest,2020-05-12,T4,R2,S2,Trifolium pratense L.,117.21
2020,Cover Harvest,2020-05-12,T4,R2,S3,Trifolium pratense L.,120.17
2020,Cover Harvest,2020-05-12,T4,R2,S4,Trifolium pratense L.,149.93
2020,Cover Harvest,2020-05-12,T4,R2,S5,Trifolium pratense L.,141.32999999999998
2020,Cover Harvest,2020-05-12,T4,R3,S1,Trifolium pratense L.,128.48399999999998
2020,Cover Harvest,2020-05-12,T4,R3,S2,Trifolium pratense L.,217.71800000000002
2020,Cover Harvest,2020-05-12,T4,R3,S3,Trifolium pratense L.,231.23800000000003
2020,Cover Harvest,2020-05-12,T4,R3,S4,Trifolium pratense L.,183.098
2020,Cover Harvest,2020-05-12,T4,R3,S5,Trifolium pratense L.,205.738
2020,Cover Harvest,2020-05-12,T4,R4,S1,Trifolium pratense L.,73.254
2020,Cover Harvest,2020-05-12,T4,R4,S2,Trifolium pratense L.,95.754
2020,Cover Harvest,2020-05-12,T4,R4,S3,Trifolium pratense L.,114.37400000000001
2020,Cover Harvest,2020-05-12,T4,R4,S4,Trifolium pratense L.,103.06400000000001
2020,Cover Harvest,2020-05-12,T4,R4,S5,Trifolium pratense L.,152.57
2020,Cover Harvest,2020-05-12,T4,R5,S1,Trifolium pratense L.,105.14
2020,Cover Harvest,2020-05-12,T4,R5,S2,Trifolium pratense L.,118.32000000000001
2020,Cover Harvest,2020-05-12,T4,R5,S3,Trifolium pratense L.,106.48
2020,Cover Harvest,2020-05-12,T4,R5,S4,Trifolium pratense L.,137.07
2020,Cover Harvest,2020-05-12,T4,R5,S5,Trifolium pratense L.,169.57999999999998
2020,Cover Harvest,2020-05-12,T4,R6,S1,Trifolium pratense L.,126.02000000000001
2020,Cover Harvest,2020-05-12,T4,R6,S2,Trifolium pratense L.,133.80399999999997
2020,Cover Harvest,2020-05-12,T4,R6,S3,Trifolium pratense L.,105.044
2020,Cover Harvest,2020-05-12,T4,R6,S4,Trifolium pratense L.,91.494
2020,Cover Harvest,2020-05-12,T4,R6,S5,Trifolium pratense L.,105.544
2020,Cover Harvest,2020-05-05,T3,R1,S1,Trifolium pratense L.,13.740000000000002
2020,Cover Harvest,2020-05-05,T3,R1,S2,Trifolium pratense L.,58.233999999999995
2020,Cover Harvest,2020-05-05,T3,R1,S3,Trifolium pratense L.,36.07000000000001
2020,Cover Harvest,2020-05-05,T3,R1,S4,Trifolium pratense L.,145.774
2020,Cover Harvest,2020-05-05,T3,R1,S5,Trifolium pratense L.,113.55399999999999
2020,Cover Harvest,2020-05-05,T3,R2,S1,Trifolium pratense L.,69.36
2020,Cover Harvest,2020-05-05,T3,R2,S2,Trifolium pratense L.,123.31400000000001
2020,Cover Harvest,2020-05-05,T3,R2,S3,Trifolium pratense L.,122.164
2020,Cover Harvest,2020-05-05,T3,R2,S4,Trifolium pratense L.,69.614
2020,Cover Harvest,2020-05-05,T3,R2,S5,Trifolium pratense L.,62.364000000000004
2020,Cover Harvest,2020-05-05,T3,R3,S1,Trifolium pratense L.,81.78
2020,Cover Harvest,2020-05-05,T3,R3,S2,Trifolium pratense L.,78.184
2020,Cover Harvest,2020-05-05,T3,R3,S3,Trifolium pratense L.,62.67
2020,Cover Harvest,2020-05-05,T3,R3,S4,Trifolium pratense L.,109.02400000000002
2020,Cover Harvest,2020-05-05,T3,R3,S5,Trifolium pratense L.,57.19
2020,Cover Harvest,2020-05-05,T3,R4,S1,Trifolium pratense L.,138.67399999999998
2020,Cover Harvest,2020-05-05,T3,R4,S2,Trifolium pratense L.,84.134
2020,Cover Harvest,2020-05-05,T3,R4,S3,Trifolium pratense L.,101.414
2020,Cover Harvest,2020-05-05,T3,R4,S4,Trifolium pratense L.,128.834
2020,Cover Harvest,2020-05-05,T3,R4,S5,Trifolium pratense L.,101.52400000000002
2020,Cover Harvest,2020-05-05,T3,R5,S1,Trifolium pratense L.,72.03999999999999
2020,Cover Harvest,2020-05-05,T3,R5,S2,Trifolium pratense L.,117.14399999999999
2020,Cover Harvest,2020-05-05,T3,R5,S3,Trifolium pratense L.,71.604
2020,Cover Harvest,2020-05-05,T3,R5,S4,Trifolium pratense L.,48.56
2020,Cover Harvest,2020-05-05,T3,R5,S5,Trifolium pratense L.,74.924
2020,Cover Harvest,2020-05-05,T3,R6,S1,Trifolium pratense L.,11.71
2020,Cover Harvest,2020-05-05,T3,R6,S2,Trifolium pratense L.,43.980000000000004
2020,Cover Harvest,2020-05-05,T3,R6,S3,Trifolium pratense L.,30.94
2020,Cover Harvest,2020-05-05,T3,R6,S4,Trifolium pratense L.,31.889999999999997
2020,Cover Harvest,2020-05-05,T3,R6,S5,Trifolium pratense L.,26.19
2018,Cover Harvest,2018-05-09,T4,R1,S1,Secale cereale M.Bieb.,26.439999999999998
2018,Cover Harvest,2018-05-09,T3,R6,S5,Secale cereale M.Bieb.,32.8
2018,Cover Harvest,2018-05-09,T3,R6,S4,Secale cereale M.Bieb.,27.85
2018,Cover Harvest,2018-05-09,T3,R6,S3,Secale cereale M.Bieb.,31.33
2018,Cover Harvest,2018-05-09,T3,R4,S1,Secale cereale M.Bieb.,27.409999999999997
2018,Cover Harvest,2018-05-09,T3,R3,S5,Secale cereale M.Bieb.,18.309999999999995
2018,Cover Harvest,2018-05-09,T3,R3,S4,Secale cereale M.Bieb.,26.82
2018,Cover Harvest,2018-05-09,T3,R3,S3,Secale cereale M.Bieb.,45.97
2018,Cover Harvest,2018-05-09,T3,R3,S2,Secale cereale M.Bieb.,24.299999999999997
2018,Cover Harvest,2018-05-09,T3,R3,S1,Secale cereale M.Bieb.,29.92
2018,Cover Harvest,2018-05-09,T3,R2,S5,Secale cereale M.Bieb.,37.2
2018,Cover Harvest,2018-05-09,T3,R2,S4,Secale cereale M.Bieb.,31.019999999999996
2018,Cover Harvest,2018-05-09,T3,R2,S3,Secale cereale M.Bieb.,29.28
2018,Cover Harvest,2018-05-09,T3,R2,S2,Secale cereale M.Bieb.,24.799999999999997
2018,Cover Harvest,2018-05-09,T3,R2,S1,Secale cereale M.Bieb.,29.64
2018,Cover Harvest,2018-05-09,T3,R1,S5,Secale cereale M.Bieb.,33.94
2018,Cover Harvest,2018-05-09,T3,R1,S4,Secale cereale M.Bieb.,24.14
2018,Cover Harvest,2018-05-09,T3,R1,S3,Secale cereale M.Bieb.,23.799999999999997
2018,Cover Harvest,2018-05-09,T3,R1,S2,Secale cereale M.Bieb.,17.729999999999997
2018,Cover Harvest,2018-05-09,T3,R1,S1,Secale cereale M.Bieb.,30.269999999999996
2018,Cover Harvest,2018-05-09,T3,R6,S2,Secale cereale M.Bieb.,24.699999999999996
2018,Cover Harvest,2018-05-09,T3,R6,S1,Secale cereale M.Bieb.,26.92
2018,Cover Harvest,2018-05-09,T3,R5,S5,Secale cereale M.Bieb.,15.009999999999998
2018,Cover Harvest,2018-05-09,T3,R5,S4,Secale cereale M.Bieb.,35.42
2018,Cover Harvest,2018-05-09,T3,R5,S3,Secale cereale M.Bieb.,23.54
2018,Cover Harvest,2018-05-09,T3,R5,S2,Secale cereale M.Bieb.,20.92
2018,Cover Harvest,2018-05-09,T3,R5,S1,Secale cereale M.Bieb.,27.89
2018,Cover Harvest,2018-05-09,T3,R4,S5,Secale cereale M.Bieb.,27.949999999999996
2018,Cover Harvest,2018-05-09,T3,R4,S4,Secale cereale M.Bieb.,23.989999999999995
2018,Cover Harvest,2018-05-09,T3,R4,S3,Secale cereale M.Bieb.,26.659999999999997
2018,Cover Harvest,2018-05-09,T3,R4,S2,Secale cereale M.Bieb.,26.879999999999995
2018,Cover Harvest,2018-05-08,T4,R5,S5,Secale cereale M.Bieb.,11.59
2018,Cover Harvest,2018-05-08,T4,R5,S4,Secale cereale M.Bieb.,22.75
2018,Cover Harvest,2018-05-08,T4,R5,S3,Secale cereale M.Bieb.,10.959999999999997
2018,Cover Harvest,2018-05-08,T4,R5,S2,Secale cereale M.Bieb.,14.71
2018,Cover Harvest,2018-05-08,T4,R5,S1,Secale cereale M.Bieb.,10.559999999999999
2018,Cover Harvest,2018-05-08,T4,R4,S5,Secale cereale M.Bieb.,28.309999999999995
2018,Cover Harvest,2018-05-08,T4,R4,S4,Secale cereale M.Bieb.,36.66
2018,Cover Harvest,2018-05-08,T4,R4,S3,Secale cereale M.Bieb.,29.4
2018,Cover Harvest,2018-05-08,T4,R4,S2,Secale cereale M.Bieb.,17.17
2018,Cover Harvest,2018-05-08,T4,R4,S1,Secale cereale M.Bieb.,29.71
2018,Cover Harvest,2018-05-08,T4,R3,S5,Secale cereale M.Bieb.,18.309999999999995
2018,Cover Harvest,2018-05-08,T4,R3,S4,Secale cereale M.Bieb.,18.17
2018,Cover Harvest,2018-05-08,T4,R3,S3,Secale cereale M.Bieb.,11.709999999999997
2018,Cover Harvest,2018-05-08,T4,R3,S2,Secale cereale M.Bieb.,30.229999999999997
2018,Cover Harvest,2018-05-08,T4,R3,S1,Secale cereale M.Bieb.,23.439999999999998
2018,Cover Harvest,2018-05-08,T4,R2,S5,Secale cereale M.Bieb.,29.58
2018,Cover Harvest,2018-05-08,T4,R2,S4,Secale cereale M.Bieb.,35.17
2018,Cover Harvest,2018-05-08,T4,R2,S3,Secale cereale M.Bieb.,25.29
2018,Cover Harvest,2018-05-08,T4,R2,S2,Secale cereale M.Bieb.,20.71
2018,Cover Harvest,2018-05-08,T4,R2,S1,Secale cereale M.Bieb.,13.68
2018,Cover Harvest,2018-05-08,T4,R1,S5,Secale cereale M.Bieb.,31.869999999999997
2018,Cover Harvest,2018-05-08,T4,R6,S5,Secale cereale M.Bieb.,38.41
2018,Cover Harvest,2018-05-08,T4,R6,S4,Secale cereale M.Bieb.,37.05
2018,Cover Harvest,2018-05-08,T4,R6,S3,Secale cereale M.Bieb.,23.740000000000002
2018,Cover Harvest,2018-05-08,T4,R6,S2,Secale cereale M.Bieb.,31.240000000000002
2018,Cover Harvest,2018-05-08,T4,R6,S1,Secale cereale M.Bieb.,21.03
2018,Cover Harvest,2018-05-08,T4,R1,S4,Secale cereale M.Bieb.,27.269999999999996
2018,Cover Harvest,2018-05-08,T4,R1,S3,Secale cereale M.Bieb.,0.03
2018,Cover Harvest,2018-05-08,T4,R1,S2,Secale cereale M.Bieb.,18.159999999999997
2017,Cover Harvest,2017-05-18,T4,R4,S5,Trifolium pratense L.,301.75
2017,Cover Harvest,2017-05-18,T4,R5,S1,Trifolium pratense L.,230.74
2017,Cover Harvest,2017-05-18,T4,R5,S2,Trifolium pratense L.,265.05
2017,Cover Harvest,2017-05-18,T4,R5,S3,Trifolium pratense L.,310.66
2017,Cover Harvest,2017-05-18,T4,R5,S4,Trifolium pratense L.,305.6
2017,Cover Harvest,2017-05-18,T4,R5,S5,Trifolium pratense L.,255.61
2017,Cover Harvest,2017-05-18,T4,R6,S1,Trifolium pratense L.,342.22
2017,Cover Harvest,2017-05-18,T4,R6,S2,Trifolium pratense L.,286.17
2017,Cover Harvest,2017-05-18,T4,R6,S3,Trifolium pratense L.,317.68
2017,Cover Harvest,2017-05-18,T4,R6,S4,Trifolium pratense L.,236.62
2017,Cover Harvest,2017-05-18,T4,R6,S5,Trifolium pratense L.,316.03
2017,Cover Harvest,2017-05-17,T4,R2,S1,Trifolium pratense L.,410.05
2017,Cover Harvest,2017-05-17,T4,R2,S2,Trifolium pratense L.,339.01
2017,Cover Harvest,2017-05-17,T4,R2,S3,Trifolium pratense L.,303.45
2017,Cover Harvest,2017-05-17,T4,R2,S4,Trifolium pratense L.,362.9
2017,Cover Harvest,2017-05-17,T4,R2,S5,Trifolium pratense L.,362.64
2017,Cover Harvest,2017-05-17,T4,R3,S1,Trifolium pratense L.,334.52
2017,Cover Harvest,2017-05-17,T4,R3,S2,Trifolium pratense L.,348.75
2017,Cover Harvest,2017-05-17,T4,R3,S3,Trifolium pratense L.,308.09
2017,Cover Harvest,2017-05-17,T4,R3,S4,Trifolium pratense L.,275.68
2017,Cover Harvest,2017-05-17,T4,R3,S5,Trifolium pratense L.,260.89
2017,Cover Harvest,2017-05-17,T4,R4,S1,Trifolium pratense L.,380.92
2017,Cover Harvest,2017-05-17,T4,R4,S2,Trifolium pratense L.,344.7
2017,Cover Harvest,2017-05-17,T4,R4,S3,Trifolium pratense L.,286.17
2017,Cover Harvest,2017-05-17,T4,R4,S4,Trifolium pratense L.,301.97
2017,Cover Harvest,2017-05-16,T4,R1,S1,Trifolium pratense L.,284.18
2017,Cover Harvest,2017-05-16,T4,R1,S2,Trifolium pratense L.,280.01
2017,Cover Harvest,2017-05-16,T4,R1,S3,Trifolium pratense L.,359.14
2017,Cover Harvest,2017-05-16,T4,R1,S4,Trifolium pratense L.,317.43
2017,Cover Harvest,2017-05-16,T4,R1,S5,Trifolium pratense L.,334
2017,Cover Harvest,2017-05-10,T3,R3,S4,Trifolium pratense L.,47.17
2017,Cover Harvest,2017-05-10,T3,R3,S5,Trifolium pratense L.,243.07
2017,Cover Harvest,2017-05-10,T3,R4,S1,Trifolium pratense L.,237.15
2017,Cover Harvest,2017-05-10,T3,R4,S2,Trifolium pratense L.,252.83
2017,Cover Harvest,2017-05-10,T3,R4,S3,Trifolium pratense L.,266.38
2017,Cover Harvest,2017-05-10,T3,R4,S4,Trifolium pratense L.,376.31
2017,Cover Harvest,2017-05-10,T3,R4,S5,Trifolium pratense L.,312.09
2017,Cover Harvest,2017-05-10,T3,R5,S1,Trifolium pratense L.,219.63
2017,Cover Harvest,2017-05-10,T3,R5,S2,Trifolium pratense L.,127.11
2017,Cover Harvest,2017-05-10,T3,R5,S3,Trifolium pratense L.,284.99
2017,Cover Harvest,2017-05-10,T3,R5,S4,Trifolium pratense L.,264.47
2017,Cover Harvest,2017-05-10,T3,R5,S5,Trifolium pratense L.,306.43
2017,Cover Harvest,2017-05-10,T3,R6,S1,Trifolium pratense L.,207.04
2017,Cover Harvest,2017-05-10,T3,R6,S2,Trifolium pratense L.,100.32
2017,Cover Harvest,2017-05-10,T3,R6,S3,Trifolium pratense L.,69.33
2017,Cover Harvest,2017-05-10,T3,R6,S4,Trifolium pratense L.,137.75
2017,Cover Harvest,2017-05-10,T3,R6,S5,Trifolium pratense L.,91.83
2017,Cover Harvest,2017-05-09,T3,R2,S1,Trifolium pratense L.,212.81
2017,Cover Harvest,2017-05-09,T3,R2,S2,Trifolium pratense L.,227.22
2017,Cover Harvest,2017-05-09,T3,R2,S3,Trifolium pratense L.,176.26
2017,Cover Harvest,2017-05-09,T3,R2,S4,Trifolium pratense L.,184.26
2017,Cover Harvest,2017-05-09,T3,R2,S5,Trifolium pratense L.,139.97
2017,Cover Harvest,2017-05-09,T3,R3,S1,Trifolium pratense L.,214.1
2017,Cover Harvest,2017-05-09,T3,R3,S2,Trifolium pratense L.,100.06
2017,Cover Harvest,2017-05-09,T3,R3,S3,Trifolium pratense L.,211.55
2017,Cover Harvest,2017-05-08,T3,R1,S1,Trifolium pratense L.,171.8
2017,Cover Harvest,2017-05-08,T3,R1,S2,Trifolium pratense L.,249.22
2017,Cover Harvest,2017-05-08,T3,R1,S3,Trifolium pratense L.,105.04
2017,Cover Harvest,2017-05-08,T3,R1,S4,Trifolium pratense L.,64.88
2017,Cover Harvest,2017-05-08,T3,R1,S5,Trifolium pratense L.,123.16
2015,Cover Harvest,2015-05-22,T4,R6,S4,Secale cereale M.Bieb.,146.094
2015,Cover Harvest,2015-05-21,T4,R1,S1,Secale cereale M.Bieb.,100.54500000000002
2015,Cover Harvest,2015-05-21,T4,R1,S2,Secale cereale M.Bieb.,104.26300000000002
2015,Cover Harvest,2015-05-21,T4,R1,S5,Secale cereale M.Bieb.,112.65900000000002
2015,Cover Harvest,2015-05-21,T4,R2,S1,Secale cereale M.Bieb.,140.031
2015,Cover Harvest,2015-05-21,T4,R2,S2,Secale cereale M.Bieb.,70.86899999999999
2015,Cover Harvest,2015-05-21,T4,R2,S3,Secale cereale M.Bieb.,89.91300000000001
2015,Cover Harvest,2015-05-21,T4,R2,S5,Secale cereale M.Bieb.,148.259
2015,Cover Harvest,2015-05-21,T4,R3,S2,Secale cereale M.Bieb.,92.903
2015,Cover Harvest,2015-05-21,T4,R3,S3,Secale cereale M.Bieb.,76.03800000000001
2015,Cover Harvest,2015-05-21,T4,R3,S4,Secale cereale M.Bieb.,105.636
2015,Cover Harvest,2015-05-21,T4,R3,S5,Secale cereale M.Bieb.,73.61300000000001
2015,Cover Harvest,2015-05-21,T4,R4,S2,Secale cereale M.Bieb.,66.363
2015,Cover Harvest,2015-05-21,T4,R4,S3,Secale cereale M.Bieb.,110.50000000000001
2015,Cover Harvest,2015-05-21,T4,R4,S4,Secale cereale M.Bieb.,118.66800000000002
2015,Cover Harvest,2015-05-21,T4,R4,S5,Secale cereale M.Bieb.,128.035
2015,Cover Harvest,2015-05-21,T4,R5,S3,Secale cereale M.Bieb.,69.12599999999998
2015,Cover Harvest,2015-05-21,T4,R5,S4,Secale cereale M.Bieb.,63.56600000000001
2015,Cover Harvest,2015-05-21,T4,R5,S5,Secale cereale M.Bieb.,130.829
2015,Cover Harvest,2015-05-21,T4,R6,S1,Secale cereale M.Bieb.,109.43999999999997
2015,Cover Harvest,2015-05-19,T3,R5,S1,Secale cereale M.Bieb.,87.09500000000001
2015,Cover Harvest,2015-05-19,T3,R5,S2,Secale cereale M.Bieb.,81.804
2015,Cover Harvest,2015-05-19,T3,R5,S3,Secale cereale M.Bieb.,68.233
2015,Cover Harvest,2015-05-19,T3,R5,S4,Secale cereale M.Bieb.,126.37400000000002
2015,Cover Harvest,2015-05-19,T3,R6,S1,Secale cereale M.Bieb.,131.73800000000003
2015,Cover Harvest,2015-05-19,T3,R6,S2,Secale cereale M.Bieb.,87.679
2015,Cover Harvest,2015-05-19,T3,R6,S4,Secale cereale M.Bieb.,73.06299999999997
2015,Cover Harvest,2015-05-18,T3,R1,S1,Secale cereale M.Bieb.,72.24100000000001
2015,Cover Harvest,2015-05-18,T3,R1,S3,Secale cereale M.Bieb.,54.885000000000005
2015,Cover Harvest,2015-05-18,T3,R2,S1,Secale cereale M.Bieb.,75.37400000000001
2015,Cover Harvest,2015-05-18,T3,R2,S5,Secale cereale M.Bieb.,148.10500000000002
2015,Cover Harvest,2015-05-18,T3,R3,S2,Secale cereale M.Bieb.,59.76900000000001
2015,Cover Harvest,2015-05-18,T3,R3,S3,Secale cereale M.Bieb.,90.908
2015,Cover Harvest,2015-05-18,T3,R3,S5,Secale cereale M.Bieb.,55.19000000000001
2015,Cover Harvest,2015-05-18,T3,R4,S3,Secale cereale M.Bieb.,76.45299999999999
2015,Cover Harvest,2015-05-18,T3,R4,S4,Secale cereale M.Bieb.,76.443
2014,Cover Harvest,2014-05-21,T4,R4,S1,Trifolium pratense L.,262.234
