# N2O, CH4, CO2 Fluxes via Static Chambers
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/28
# The newest version of the data https://lter.kbs.msu.edu/datatables/28.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml
#
# doi:10.6073/pasta/2bd6e21728a16243fc175a3e9bd0ab7c
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Sample_Date		date of sampling
# Treatment		treatment
# Replicate		replicate
# CH4_C	gramsPerHectarePerDay	flux of methane (CH4) as C
# CO2_C	kilogramsPerHectarePerDay	flux of carbon dioxide (CO2) as C
# N2O_N	gramsPerHectarePerDay	flux of nitrous oxide (N2O) as N
# Year		sample year
# air_temperature_c	celsius	the air temperature used for the flux calculation
# moisture	gramsPerGram	gravimetric soil moisture 
# soil_temperature_c	celsius	soil temperature at 2.54 cm depth
# crop		the crop grown that year
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#<p>8-21-2003 Tim Bergsma.  Recently, the units for CO<sub>2</sub> fluxes have been challenged.  The issue is under review.<br> 
#10-1-2003 Sven Bohm. Unit problems resoved. CO<sub>2</sub> units changed from g C/ha/day to kg C/ha/day <br>
#12-16-2004 Sven Bohm. A reminder note that the gas samples in 1995 were only run for CH4 due to the long storage times between sampling and analysis as well as the discovery that the rubber seals used tended to leak quite rapidly</p><p>
#4-11-2006 Sven Bohm. Prior to 2000 two repliate chambers were used in the forested treatments, they were reported as reps 1 through 6. They map on the current sampling scheme as rep 1-2 is R1, rep 3-4 is R2 and rep 5-6 is R3</p>
#<p>2010-2-26 Sven Bohm. We discovered that the computation for the fluxes used a larger volume than the volume of the chambers. The fluxes
# since 2004 have been recalculated.</p>
#<p> 2012-05-16. Sven Bohm. Removed extra T from the front of the treatment names and the R in front of the replicates in post 2008 samples</p>
#<p>2012-10-10. Sven Bohm. Moved the forested treatments to their own dataset to avoid confusion with the naming</p>
#<p>2013-8-1. Sven Bohm. Added temperature correction and crops to the data table and removed the T7 fertilized plots from the data table. </p>
#<p>2013-11-14 Sven Bohm. Discovered that 2000 to 2003 data was computed assuming only 1 N instead of 2 N's so the values were half of what they should have been. Corrected the calculation in the database</p>
#2019-10-17 Sven Bohm. added soil moisture from sampling.
#2021-5-3 Sven Bohm. Temperatures for the temperature corrections failed to account for the time zone and used the 10 am UTC temperature instead of 10 am local time.
#2021-11-15 Sven Bohm. Removed post 2014 data a Phil's direction
#2023-8-16 Sven Bohm. In 1998 we did not sample T6, T5 and T3 was only sampled once with all negative fluxes so it was removed.
#
Sample_Date,Treatment,Replicate,CH4_C,CO2_C,N2O_N,Year,air_temperature_c,moisture,soil_temperature_c,crop
2014-11-11,T1,R2,0.58,1.93,0.77,2014,10.2,17,0.22,ZEAMX
2014-11-11,T1,R3,0.29,4.82,3.66,2014,10.2,6,0.13,ZEAMX
2014-11-11,T1,R4,-0.87,4.82,1.83,2014,10.2,6,0.18,ZEAMX
2014-11-11,T2,R1,-0.87,3.85,2.70,2014,10.2,17,0.15,ZEAMX
2014-11-11,T2,R2,-2.12,13.49,4.43,2014,10.2,7,0.15,ZEAMX
2014-11-11,T2,R3,0.58,4.82,4.82,2014,10.2,7,0.16,ZEAMX
2014-11-11,T2,R4,-0.67,7.71,1.45,2014,10.2,7,0.18,ZEAMX
2014-11-11,T3,R1,-3.37,5.78,-1.16,2014,10.2,18,0.18,ZEAMX
2014-11-11,T3,R2,-0.39,8.67,1.35,2014,10.2,7,0.17,ZEAMX
2014-11-11,T3,R3,-0.67,8.67,28.81,2014,10.2,6,0.18,ZEAMX
2014-11-11,T3,R4,-1.83,8.67,-0.19,2014,10.2,6,0.17,ZEAMX
2014-11-11,T4,R1,0.58,10.60,4.14,2014,10.2,17,0.18,ZEAMX
2014-11-11,T4,R2,-1.73,6.74,0.87,2014,10.2,18,0.21,ZEAMX
2014-11-11,T4,R3,0.96,16.38,18.79,2014,10.2,7,0.21,ZEAMX
2014-11-11,T4,R4,0.87,8.67,2.41,2014,10.2,6,0.19,ZEAMX
2014-11-11,T5,R1,-1.06,4.82,0.77,2014,10.2,17,0.20,
2014-11-11,T5,R2,-1.83,4.82,0.67,2014,10.2,18,0.17,
2014-11-11,T5,R3,0.39,6.74,-1.16,2014,10.2,6,0.18,
2014-11-11,T5,R4,-2.99,6.74,1.16,2014,10.2,6,0.17,
2014-11-11,T6,R1,0.29,12.52,-0.29,2014,10.2,18,0.21,
2014-11-11,T6,R2,-1.16,14.45,1.16,2014,10.2,17,0.18,
2014-11-11,T6,R3,-0.29,11.56,0.10,2014,10.2,6,0.21,
2014-11-11,T6,R4,0.10,21.20,1.06,2014,10.2,7,0.17,
2014-11-11,T7,R1,0.48,9.63,0.29,2014,10.2,7,0.17,
2014-11-11,T7,R2,-2.60,7.71,0.39,2014,10.2,17,0.23,
2014-11-11,T7,R3,5.01,11.56,1.25,2014,10.2,6,0.20,
2014-11-11,T7,R4,0.19,9.63,1.25,2014,10.2,6,0.19,
2014-11-11,T8,R1,-3.47,17.34,2.99,2014,10.2,10,0.22,
2014-11-11,T8,R2,-6.84,15.41,-0.48,2014,10.2,9.5,0.24,
2014-11-11,T8,R3,-3.47,14.45,3.95,2014,10.2,9.5,,
2014-11-11,T8,R4,-5.88,20.23,-0.58,2014,10.2,9,0.22,
2014-10-07,T1,R1,-0.10,5.86,7.91,2014,6.5,9,0.16,ZEAMX
2014-10-07,T1,R2,-1.17,7.81,0.88,2014,6.5,9,0.21,ZEAMX
2014-10-07,T1,R3,4.10,5.86,0.68,2014,6.5,10.5,0.15,ZEAMX
2014-10-07,T1,R4,-1.27,7.81,7.42,2014,6.5,11.5,0.19,ZEAMX
2014-10-07,T2,R1,3.12,6.83,0.59,2014,6.5,7,0.15,ZEAMX
2014-10-07,T2,R2,-1.17,5.86,0.78,2014,6.5,9,0.14,ZEAMX
2014-10-07,T2,R3,-6.44,11.71,2.83,2014,6.5,10,0.16,ZEAMX
2014-10-07,T2,R4,-3.61,5.86,1.17,2014,6.5,10,0.20,ZEAMX
2014-10-07,T3,R1,-0.98,4.88,2.64,2014,6.5,9,0.16,ZEAMX
2014-10-07,T3,R2,0.78,7.81,0.39,2014,6.5,10,0.19,ZEAMX
2014-10-07,T3,R3,-3.32,5.86,0.39,2014,6.5,10.5,0.18,ZEAMX
2014-10-07,T3,R4,-0.29,5.86,0.59,2014,6.5,10,0.17,ZEAMX
2014-10-07,T4,R1,2.44,8.78,0.59,2014,6.5,8,0.18,ZEAMX
2014-10-07,T4,R2,-0.29,8.78,1.95,2014,6.5,9,0.21,ZEAMX
2014-10-07,T4,R3,-4.29,8.78,2.05,2014,6.5,10,0.22,ZEAMX
2014-10-07,T4,R4,5.56,11.71,1.95,2014,6.5,12,0.22,ZEAMX
2014-10-07,T5,R1,-1.56,12.69,0.49,2014,6.5,10,0.18,
2014-10-07,T5,R2,0.29,10.74,0.59,2014,6.5,9,0.16,
2014-10-07,T5,R3,-0.10,11.71,0.49,2014,6.5,12.5,0.19,
2014-10-07,T5,R4,-2.73,8.78,-0.10,2014,6.5,12,0.18,
2014-10-07,T6,R1,4.00,16.59,1.56,2014,6.5,7,0.21,
2014-10-07,T6,R2,-0.98,19.52,0.78,2014,6.5,7,0.19,
2014-10-07,T6,R3,-0.20,22.45,1.85,2014,6.5,12,0.24,
2014-10-07,T6,R4,3.03,27.33,1.85,2014,6.5,12.5,0.19,
2014-10-07,T7,R1,-2.34,13.67,0.29,2014,6.5,9,0.19,
2014-10-07,T7,R2,-3.81,11.71,0.39,2014,6.5,8,0.24,
2014-10-07,T7,R3,-4.10,17.57,0.49,2014,6.5,11.5,0.21,
2014-10-07,T7,R4,-3.32,9.76,0.59,2014,6.5,12,0.18,
2014-10-07,T8,R1,-0.59,10.74,0.49,2014,6.5,9,0.24,
2014-10-07,T8,R2,-7.52,15.62,0.98,2014,6.5,8.5,,
2014-10-07,T8,R3,-3.22,16.59,0.68,2014,6.5,8,,
2014-10-07,T8,R4,-7.03,14.64,1.17,2014,6.5,8.5,,
2014-09-16,T1,R1,2.33,14.57,1.07,2014,7.9,11,0.13,ZEAMX
2014-09-16,T1,R2,-8.06,19.42,2.91,2014,7.9,12.5,0.19,ZEAMX
2014-09-16,T1,R3,0.58,22.34,1.17,2014,7.9,11,0.13,ZEAMX
2014-09-16,T1,R4,-0.78,16.51,0.97,2014,7.9,13,0.14,ZEAMX
2014-09-16,T2,R1,1.75,21.37,1.55,2014,7.9,11,0.14,ZEAMX
2014-09-16,T2,R2,-5.34,15.54,1.17,2014,7.9,11,0.14,ZEAMX
2014-09-16,T2,R3,-1.36,13.60,1.85,2014,7.9,11,0.14,ZEAMX
2014-09-16,T2,R4,-3.30,13.60,0.78,2014,7.9,11,0.19,ZEAMX
2014-09-16,T3,R1,-3.30,20.40,0.87,2014,7.9,12,0.17,ZEAMX
2014-09-16,T3,R2,1.75,33.02,1.94,2014,7.9,10,0.16,ZEAMX
2014-09-16,T3,R3,0.49,18.45,1.26,2014,7.9,11,0.17,ZEAMX
2014-09-16,T3,R4,-1.85,24.28,2.62,2014,7.9,11,0.15,ZEAMX
2014-09-16,T4,R1,-4.95,18.45,1.07,2014,7.9,12,0.17,ZEAMX
2014-09-16,T4,R2,-6.22,27.19,1.17,2014,7.9,13,0.20,ZEAMX
2014-09-16,T4,R3,1.17,36.91,1.55,2014,7.9,12,0.20,ZEAMX
2014-09-16,T4,R4,8.16,34.96,1.46,2014,7.9,13,0.21,ZEAMX
2014-09-16,T5,R1,-0.39,10.68,0.19,2014,7.9,12,0.13,
2014-09-16,T5,R2,-3.69,8.74,0.00,2014,7.9,13.5,0.12,
2014-09-16,T5,R3,0.68,9.71,0.00,2014,7.9,11,0.13,
2014-09-16,T5,R4,-0.19,10.68,0.39,2014,7.9,10,0.10,
2014-09-16,T6,R1,-10.68,33.02,1.85,2014,7.9,12,0.21,
2014-09-16,T6,R2,-7.09,41.76,1.75,2014,7.9,11.5,0.17,
2014-09-16,T6,R3,-6.41,34.96,1.94,2014,7.9,15,0.22,
2014-09-16,T6,R4,0.78,53.42,1.75,2014,7.9,15,0.17,
2014-09-16,T7,R1,0.68,25.25,0.97,2014,7.9,12,0.16,
2014-09-16,T7,R2,-3.30,19.42,1.85,2014,7.9,11.5,0.18,
2014-09-16,T7,R3,-11.95,33.99,1.26,2014,7.9,14,0.19,
2014-09-16,T7,R4,1.26,21.37,0.87,2014,7.9,12,0.14,
2014-09-16,T8,R1,-10.97,36.91,2.14,2014,7.9,12,0.19,
2014-09-16,T8,R2,-15.15,31.08,1.75,2014,7.9,11,0.23,
2014-09-16,T8,R3,-12.63,44.68,1.55,2014,7.9,12,0.23,
2014-09-16,T8,R4,,28.16,0.78,2014,7.9,12,0.23,
2014-08-19,T1,R1,-0.66,10.33,1.03,2014,17.6,19,0.05,ZEAMX
2014-08-19,T1,R2,-2.35,19.72,1.22,2014,17.6,19,0.15,ZEAMX
2014-08-19,T1,R3,-5.63,12.20,0.84,2014,17.6,18,0.06,ZEAMX
2014-08-19,T1,R4,1.69,11.27,0.84,2014,17.6,20,0.07,ZEAMX
2014-08-19,T2,R1,-2.63,18.78,1.78,2014,17.6,19,0.07,ZEAMX
2014-08-19,T2,R2,-5.63,15.02,1.97,2014,17.6,19,0.10,ZEAMX
2014-08-19,T2,R3,-2.63,13.14,0.84,2014,17.6,21,0.06,ZEAMX
2014-08-19,T2,R4,-3.38,13.14,1.13,2014,17.6,20,0.10,ZEAMX
2014-08-19,T3,R1,10.23,13.14,0.66,2014,17.6,19,0.14,ZEAMX
2014-08-19,T3,R2,-6.01,17.84,1.50,2014,17.6,20,0.06,ZEAMX
2014-08-19,T3,R3,-0.47,18.78,1.31,2014,17.6,19,0.09,ZEAMX
2014-08-19,T3,R4,1.03,14.08,1.22,2014,17.6,20,0.08,ZEAMX
2014-08-19,T4,R1,-2.16,20.65,1.97,2014,17.6,19,0.08,ZEAMX
2014-08-19,T4,R2,3.19,24.41,2.53,2014,17.6,20,0.13,ZEAMX
2014-08-19,T4,R3,-1.13,26.29,7.13,2014,17.6,21,0.12,ZEAMX
2014-08-19,T4,R4,-1.13,18.78,3.57,2014,17.6,20,0.12,ZEAMX
2014-08-19,T5,R1,4.41,29.10,0.84,2014,17.6,19,0.13,
2014-08-19,T5,R2,7.79,26.29,0.56,2014,17.6,19,0.12,
2014-08-19,T5,R3,-4.69,19.72,0.56,2014,17.6,18,0.11,
2014-08-19,T5,R4,0.19,15.02,0.38,2014,17.6,19,0.12,
2014-08-19,T6,R1,-3.38,47.88,2.53,2014,17.6,19,0.12,
2014-08-19,T6,R2,-0.47,55.39,2.16,2014,17.6,19,0.11,
2014-08-19,T6,R3,-3.19,42.25,1.50,2014,17.6,21,0.17,
2014-08-19,T6,R4,1.50,45.06,1.97,2014,17.6,21,0.11,
2014-08-19,T7,R1,-2.35,29.10,1.31,2014,17.6,19,0.12,
2014-08-19,T7,R2,2.44,47.88,1.60,2014,17.6,18,0.10,
2014-08-19,T7,R3,-1.41,31.92,1.03,2014,17.6,19,0.15,
2014-08-19,T7,R4,-7.13,33.80,2.16,2014,17.6,19,0.08,
2014-08-19,T8,R1,,,,2014,17.6,19.5,0.10,
2014-08-19,T8,R2,-23.19,31.92,2.44,2014,17.6,19,0.10,
2014-08-19,T8,R3,-15.68,35.67,1.97,2014,17.6,19,0.10,
2014-08-19,T8,R4,-11.55,29.10,1.03,2014,17.6,18.5,0.15,
2014-07-30,T1,R1,-0.86,13.33,-0.76,2014,13.6,16,0.05,ZEAMX
2014-07-30,T1,R2,-2.19,26.66,-0.95,2014,13.6,19,0.15,ZEAMX
2014-07-30,T1,R3,6.47,18.09,1.05,2014,13.6,16,0.05,ZEAMX
2014-07-30,T1,R4,-6.09,18.09,3.71,2014,13.6,18,0.08,ZEAMX
2014-07-30,T2,R1,1.43,19.99,2.38,2014,13.6,19,0.08,ZEAMX
2014-07-30,T2,R2,-2.09,14.28,2.28,2014,13.6,17,0.06,ZEAMX
2014-07-30,T2,R3,12.57,18.09,-0.76,2014,13.6,17,0.09,ZEAMX
2014-07-30,T2,R4,2.19,19.04,1.43,2014,13.6,17.5,0.14,ZEAMX
2014-07-30,T3,R1,-0.86,12.38,0.38,2014,13.6,20,0.12,ZEAMX
2014-07-30,T3,R2,1.43,22.85,0.76,2014,13.6,16,0.08,ZEAMX
2014-07-30,T3,R3,-7.52,15.23,1.33,2014,13.6,16,0.09,ZEAMX
2014-07-30,T3,R4,-13.71,18.09,1.14,2014,13.6,17,0.08,ZEAMX
2014-07-30,T4,R1,11.42,21.90,3.81,2014,13.6,18,0.08,ZEAMX
2014-07-30,T4,R2,-0.38,22.85,5.62,2014,13.6,20,0.14,ZEAMX
2014-07-30,T4,R3,13.52,25.70,8.76,2014,13.6,18,0.11,ZEAMX
2014-07-30,T4,R4,0.19,23.80,6.76,2014,13.6,20,0.13,ZEAMX
2014-07-30,T5,R1,-8.28,19.04,1.43,2014,13.6,21,0.11,
2014-07-30,T5,R2,-4.57,13.33,-1.90,2014,13.6,18,0.09,
2014-07-30,T5,R3,3.62,16.18,-2.38,2014,13.6,16,0.09,
2014-07-30,T5,R4,-9.42,10.47,1.52,2014,13.6,15,0.08,
2014-07-30,T6,R1,4.47,53.31,3.33,2014,13.6,18,0.14,
2014-07-30,T6,R2,-8.85,42.84,1.81,2014,13.6,19,0.11,
2014-07-30,T6,R3,-2.67,46.65,4.47,2014,13.6,19,0.17,
2014-07-30,T6,R4,2.00,53.31,0.95,2014,13.6,20,0.10,
2014-07-30,T7,R1,-4.66,34.27,-0.10,2014,13.6,17,0.14,
2014-07-30,T7,R2,-4.38,44.74,0.57,2014,13.6,17,0.12,
2014-07-30,T7,R3,-0.38,51.41,1.62,2014,13.6,18,0.12,
2014-07-30,T7,R4,-0.67,38.08,0.57,2014,13.6,17,0.11,
2014-07-30,T8,R1,-7.33,38.08,3.52,2014,13.6,19.5,0.15,
2014-07-30,T8,R2,-8.95,31.42,7.04,2014,13.6,18.5,0.16,
2014-07-30,T8,R3,-11.90,45.70,2.48,2014,13.6,19,0.18,
2014-07-30,T8,R4,-7.52,33.32,1.90,2014,13.6,18.5,0.15,
2014-07-14,T1,R1,-10.42,11.27,1.31,2014,17.5,15,,ZEAMX
2014-07-14,T1,R2,,13.15,1.31,2014,17.5,16,,ZEAMX
2014-07-14,T1,R3,4.41,30.05,3.38,2014,17.5,15,,ZEAMX
2014-07-14,T1,R4,-7.04,21.60,3.38,2014,17.5,16,,ZEAMX
2014-07-14,T2,R1,-6.10,15.03,1.97,2014,17.5,16,,ZEAMX
2014-07-14,T2,R2,,9.39,1.41,2014,17.5,16.5,,ZEAMX
2014-07-14,T2,R3,,8.45,1.31,2014,17.5,15.5,,ZEAMX
2014-07-14,T2,R4,,10.33,1.88,2014,17.5,15.5,,ZEAMX
2014-07-14,T3,R1,,1.88,0.28,2014,17.5,15,,ZEAMX
2014-07-14,T3,R2,,14.09,1.22,2014,17.5,15.5,,ZEAMX
2014-07-14,T3,R3,4.32,17.84,0.56,2014,17.5,15,,ZEAMX
2014-07-14,T3,R4,,4.70,0.56,2014,17.5,16,,ZEAMX
2014-07-14,T4,R1,-3.10,15.96,3.85,2014,17.5,15,,ZEAMX
2014-07-14,T4,R2,-27.42,10.33,4.41,2014,17.5,16,,ZEAMX
2014-07-14,T4,R3,,5.63,2.82,2014,17.5,16,,ZEAMX
2014-07-14,T4,R4,-1.41,24.42,6.20,2014,17.5,18,,ZEAMX
2014-07-14,T5,R1,-1.03,15.96,0.56,2014,17.5,15,,
2014-07-14,T5,R2,,3.76,0.28,2014,17.5,15,,
2014-07-14,T5,R3,-12.21,17.84,0.94,2014,17.5,14,,
2014-07-14,T5,R4,-2.44,13.15,0.75,2014,17.5,15,,
2014-07-14,T6,R3,2.07,34.75,2.72,2014,17.5,19,,
2014-07-14,T6,R4,7.23,35.68,2.07,2014,17.5,17,,
2014-07-14,T7,R1,39.82,18.78,3.10,2014,17.5,16.5,,
2014-07-14,T7,R2,-6.76,21.60,1.03,2014,17.5,16,,
2014-07-14,T7,R3,-2.63,49.77,1.31,2014,17.5,18,,
2014-07-14,T7,R4,-7.89,32.87,1.78,2014,17.5,17,,
2014-07-14,T8,R1,9.39,25.35,0.85,2014,17.5,16,,
2014-07-14,T8,R2,-6.95,19.72,1.69,2014,17.5,16,,
2014-07-14,T8,R3,-25.26,3.76,-0.09,2014,17.5,16,,
2014-07-14,T8,R4,-16.62,27.23,0.75,2014,17.5,16,,
2014-07-03,T1,R1,-1.91,1.91,3.34,2014,12.6,17,,ZEAMX
2014-07-03,T1,R2,2.77,24.84,4.97,2014,12.6,18,,ZEAMX
2014-07-03,T1,R3,3.53,24.84,7.83,2014,12.6,18,,ZEAMX
2014-07-03,T1,R4,-3.82,7.64,28.56,2014,12.6,20,,ZEAMX
2014-07-03,T2,R1,0.48,25.79,9.84,2014,12.6,19,,ZEAMX
2014-07-03,T2,R2,0.29,2.87,13.85,2014,12.6,18,,ZEAMX
2014-07-03,T2,R3,3.34,15.28,13.37,2014,12.6,19,,ZEAMX
2014-07-03,T2,R4,0.86,13.37,14.23,2014,12.6,19,,ZEAMX
2014-07-03,T3,R1,0.38,5.73,6.50,2014,12.6,17,,ZEAMX
2014-07-03,T3,R2,4.39,10.51,2.96,2014,12.6,18,,ZEAMX
2014-07-03,T3,R3,-6.78,5.73,5.83,2014,12.6,19,,ZEAMX
2014-07-03,T3,R4,2.01,9.55,4.59,2014,12.6,19,,ZEAMX
2014-07-03,T4,R1,-0.48,6.69,2.20,2014,12.6,18,,ZEAMX
2014-07-03,T4,R2,2.29,6.69,6.50,2014,12.6,19,,ZEAMX
2014-07-03,T4,R3,3.15,2.87,-0.76,2014,12.6,19,,ZEAMX
2014-07-03,T4,R4,0.10,2.87,0.96,2014,12.6,21,,ZEAMX
2014-07-03,T5,R1,-0.29,8.60,1.24,2014,12.6,16,,
2014-07-03,T5,R2,1.34,5.73,0.86,2014,12.6,15,,
2014-07-03,T5,R3,2.58,14.33,0.00,2014,12.6,18,,
2014-07-03,T5,R4,0.67,11.46,1.24,2014,12.6,17,,
2014-07-03,T6,R1,-0.67,27.70,6.02,2014,12.6,19,,
2014-07-03,T6,R2,-1.91,31.52,4.30,2014,12.6,16,,
2014-07-03,T6,R3,2.87,27.70,17.86,2014,12.6,21,,
2014-07-03,T6,R4,1.82,38.21,5.73,2014,12.6,21,,
2014-07-03,T7,R1,0.76,24.84,4.20,2014,12.6,19,,
2014-07-03,T7,R2,-0.19,30.57,6.02,2014,12.6,18,,
2014-07-03,T7,R3,-1.53,29.61,3.53,2014,12.6,20,,
2014-07-03,T7,R4,1.34,42.99,4.49,2014,12.6,20,,
2014-07-03,T8,R1,-9.94,50.63,5.06,2014,12.6,19.5,,
2014-07-03,T8,R2,-0.19,27.70,4.49,2014,12.6,20,,
2014-07-03,T8,R3,,,,2014,12.6,19.5,,
2014-07-03,T8,R4,,,,2014,12.6,20,,
2014-06-17,T1,R1,6.08,16.58,0.92,2014,23.1,22,0.11,ZEAMX
2014-06-17,T1,R2,0.92,15.66,1.66,2014,23.1,24.5,0.16,ZEAMX
2014-06-17,T1,R3,-0.09,18.43,6.91,2014,23.1,24,0.10,ZEAMX
2014-06-17,T1,R4,3.41,11.98,0.83,2014,23.1,24,0.11,ZEAMX
2014-06-17,T2,R1,,17.51,2.12,2014,23.1,23.5,0.11,ZEAMX
2014-06-17,T2,R2,-5.07,14.74,1.38,2014,23.1,22,0.12,ZEAMX
2014-06-17,T2,R3,-1.57,15.66,1.38,2014,23.1,24,0.12,ZEAMX
2014-06-17,T2,R4,-0.46,14.74,1.38,2014,23.1,23,0.15,ZEAMX
2014-06-17,T3,R1,1.47,23.96,9.49,2014,23.1,24.5,0.14,ZEAMX
2014-06-17,T3,R2,0.64,18.43,2.03,2014,23.1,22,0.13,ZEAMX
2014-06-17,T3,R3,-0.74,15.66,3.32,2014,23.1,24,0.12,ZEAMX
2014-06-17,T3,R4,-3.41,32.25,5.07,2014,23.1,25,0.14,ZEAMX
