# Biomass Compilation of Herbaceous Systems
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/291
# The newest version of the data https://lter.kbs.msu.edu/datatables/291.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/22.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# Year		sample year
# Campaign		sampling campaign
# Date		date the sample was collected
# Treatment		treatment of the sampled plot
# Replicate		replicate of the sampled plot
# Station		sampling station within the plot
# Species		species collected
# Fraction		plant fraction collected (WHOLE, SEED, VEG)
# Biomass_g	gramsPerSquareMeter	measured biomass in grams per meter squared
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2023-08-08 Changed campaigns of non-crop biomass from Harvest to Peak Biomass as non-crops were never harvested.
#
Year,Campaign,Date,Treatment,Replicate,Station,Species,Fraction,Biomass_g
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,2.7
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Celastrus orbiculatus Thunb.,WHOLE,11.47
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Geum canadense,WHOLE,22.57
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Pilea pumila (L.) Gray,WHOLE,2.41
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Polygonum caespitosum Blume var. longisetum (DeBruyn) A.N.Stewart,WHOLE,0.23
2022,Peak Biomass,2022-09-27,TSF,R3,S5,Sanicula canadensis L.,WHOLE,0.08
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,1.77
2022,Peak Biomass,2022-09-27,TSF,R1,S1,another unknown dicot,WHOLE,0.02
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,WHOLE,0.27
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Asplenium platyneuron (L.) Oakes (*),WHOLE,4.53
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Celastrus orbiculatus Thunb.,WHOLE,38.95
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Dactylis glomerata L.,WHOLE,5.5
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Geum sp.,WHOLE,1.53
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Lonicera spp.,WHOLE,0.19
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Monarda fistulosa L.,WHOLE,10.7
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Parthenocissus quinquefolia (L.) Planch.,WHOLE,2.22
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Rubus occidentalis L. (*),WHOLE,10.2
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Torilis japonica (Houtt.) DC.,WHOLE,0.16
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Toxicodendron radicans (L.) Ktze.,WHOLE,0.01
2022,Peak Biomass,2022-09-27,TSF,R1,S1,Unknown dicot (*),WHOLE,0.02
2022,Peak Biomass,2022-09-27,TSF,R1,S1,UnSorted,WHOLE,11.63
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Achillea millefolium L.,WHOLE,0.95
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,WHOLE,0.4
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Celastrus orbiculatus Thunb.,WHOLE,117.53
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Daucus carota L.,WHOLE,0.2
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Elymus repens (L.) Gould,WHOLE,4.36
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Geum sp.,WHOLE,0.03
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Oxalis stricta L.,WHOLE,0.21
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Parthenocissus quinquefolia (L.) Planch.,WHOLE,0.15
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Poa pratensis L.,WHOLE,4.04
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Solidago canadensis L.,WHOLE,119.84
2022,Peak Biomass,2022-09-27,TSF,R1,S2,Torilis japonica (Houtt.) DC.,WHOLE,0.03
2022,Peak Biomass,2022-09-27,TSF,R1,S2,UnSorted,WHOLE,28.55
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Achillea millefolium L.,WHOLE,11.59
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,WHOLE,7.21
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Daucus carota L.,WHOLE,0.42
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Elymus repens (L.) Gould,WHOLE,10.74
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Poa pratensis L.,WHOLE,5.67
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Solidago canadensis L.,WHOLE,361.08
2022,Peak Biomass,2022-09-27,TSF,R1,S3,Unknown dicot (*),WHOLE,0.02
2022,Peak Biomass,2022-09-27,TSF,R1,S3,UnSorted,WHOLE,60.59
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Achillea millefolium L.,WHOLE,19.01
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,WHOLE,30.63
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Asplenium platyneuron (L.) Oakes (*),WHOLE,0.67
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Celastrus orbiculatus Thunb.,WHOLE,3.38
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Centaurea stoebe L. ssp. micranthos (Gugler) Hayek,WHOLE,0.31
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Dactylis glomerata L.,WHOLE,0.15
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Daucus carota L.,WHOLE,0.97
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Elymus repens (L.) Gould,WHOLE,17.32
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Geum sp.,WHOLE,0.79
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Monarda sp.,WHOLE,1.16
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Parthenocissus quinquefolia (L.) Planch.,WHOLE,2.48
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Phleum pratense L.,WHOLE,2.69
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Poa pratensis L.,WHOLE,11.42
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Rumex acetosella L.,WHOLE,0.2
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Solidago canadensis L.,WHOLE,66.35
2022,Peak Biomass,2022-09-27,TSF,R1,S4,Unknown dicot (*),WHOLE,0.6
2022,Peak Biomass,2022-09-27,TSF,R1,S4,UnSorted,WHOLE,95.78
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Achillea millefolium L.,WHOLE,11.19
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl,WHOLE,2.85
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Asplenium platyneuron (L.) Oakes (*),WHOLE,0.08
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Aster pilosus Willd.,WHOLE,0.79
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Celastrus orbiculatus Thunb.,WHOLE,236.73
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Daucus carota L.,WHOLE,0.08
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Elymus repens (L.) Gould,WHOLE,3.99
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Poa pratensis L.,WHOLE,29.94
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Rumex acetosella L.,WHOLE,1.83
2022,Peak Biomass,2022-09-27,TSF,R1,S5,Solidago juncea Aiton (*),WHOLE,28.31
2022,Peak Biomass,2022-09-27,TSF,R1,S5,UnSorted,WHOLE,94.42
2022,Peak Biomass,2022-09-27,TSF,R2,S1,Celastrus orbiculatus Thunb.,WHOLE,8.69
2022,Peak Biomass,2022-09-27,TSF,R2,S1,Parthenocissus quinquefolia (L.) Planch.,WHOLE,4.26
2022,Peak Biomass,2022-09-27,TSF,R2,S1,Rhamnus frangula L.,WHOLE,0.47
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,0.06
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Celastrus orbiculatus Thunb.,WHOLE,22.84
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Parthenocissus quinquefolia (L.) Planch.,WHOLE,0.08
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Rosa sp. (*),WHOLE,2.1
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Rubus sp. (*),WHOLE,4.18
2022,Peak Biomass,2022-09-27,TSF,R2,S2,Sassafras albidum (Nutt.) Nees,WHOLE,1.58
2022,Peak Biomass,2022-09-27,TSF,R2,S3,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,3.64
2022,Peak Biomass,2022-09-27,TSF,R2,S3,Celastrus orbiculatus Thunb.,WHOLE,8.04
2022,Peak Biomass,2022-09-27,TSF,R2,S3,Malus spp. (*),WHOLE,4.03
2022,Peak Biomass,2022-09-27,TSF,R2,S3,Rosa sp. (*),WHOLE,10.14
2022,Peak Biomass,2022-09-27,TSF,R2,S3,Rubus sp. (*),WHOLE,5.83
2022,Peak Biomass,2022-09-27,TSF,R2,S3,unknown Elm,WHOLE,0.65
2022,Peak Biomass,2022-09-27,TSF,R2,S4,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,3.02
2022,Peak Biomass,2022-09-27,TSF,R2,S4,Celastrus orbiculatus Thunb.,WHOLE,14.24
2022,Peak Biomass,2022-09-27,TSF,R2,S4,Circaea lutetiana L.,WHOLE,0.3
2022,Peak Biomass,2022-09-27,TSF,R2,S4,Parthenocissus quinquefolia (L.) Planch.,WHOLE,1.38
2022,Peak Biomass,2022-09-27,TSF,R2,S4,Rosa sp. (*),WHOLE,44.68
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Acer spp.,WHOLE,0.18
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Celastrus orbiculatus Thunb.,WHOLE,10.81
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Circaea lutetiana L.,WHOLE,0.24
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Lonicera spp.,WHOLE,0.78
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Rhamnus frangula L.,WHOLE,0.46
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Rosa sp. (*),WHOLE,1.1
2022,Peak Biomass,2022-09-27,TSF,R2,S5,Rubus sp. (*),WHOLE,4.15
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,19.03
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Celastrus orbiculatus Thunb.,WHOLE,0.02
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Elaeagnus umbellata Thunb.,WHOLE,17.71
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Geum canadense,WHOLE,15.6
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Parthenocissus quinquefolia (L.) Planch.,WHOLE,0.2
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Pilea pumila (L.) Gray,WHOLE,2.05
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Polygonum caespitosum Blume var. longisetum (DeBruyn) A.N.Stewart,WHOLE,0.04
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Rumex obtusifolius L.,WHOLE,0.59
2022,Peak Biomass,2022-09-27,TSF,R3,S1,UnSorted,WHOLE,1.11
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Veronica chamaedrys L.,WHOLE,3.44
2022,Peak Biomass,2022-09-27,TSF,R3,S1,Viola sp. (*),WHOLE,0.09
2022,Peak Biomass,2022-09-27,TSF,R3,S2,Celastrus orbiculatus Thunb.,WHOLE,7.66
2022,Peak Biomass,2022-09-27,TSF,R3,S2,Geum sp.,WHOLE,1
2022,Peak Biomass,2022-09-27,TSF,R3,S2,Rosa sp. (*),WHOLE,46.38
2022,Peak Biomass,2022-09-27,TSF,R3,S2,Unknown dicot (*),WHOLE,0.08
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Alliaria petiolata (Bieb.) Cavara & Grande,WHOLE,5.04
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Celastrus orbiculatus Thunb.,WHOLE,0.71
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Elaeagnus umbellata Thunb.,WHOLE,3.03
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Geum canadense,WHOLE,11
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Malus spp. (*),WHOLE,0.25
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Parthenocissus quinquefolia (L.) Planch.,WHOLE,4.85
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Pilea pumila (L.) Gray,WHOLE,1.51
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Rosa sp. (*),WHOLE,7.45
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Rubus occidentalis L. (*),WHOLE,6.93
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Rubus sp. (*),WHOLE,5.66
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Sanicula canadensis L.,WHOLE,0.56
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Sassafras albidum (Nutt.) Nees,WHOLE,0.95
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Toxicodendron radicans (L.) Ktze.,WHOLE,0.84
2022,Peak Biomass,2022-09-27,TSF,R3,S3,Unknown dicot (*),WHOLE,0.02
2022,Peak Biomass,2022-09-27,TSF,R3,S3,unknown Elm,WHOLE,0.35
2022,Peak Biomass,2022-09-22,T6,R6,S1,Veronica sp.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R6,S3,Unknown dicot (*),WHOLE,3.87
2022,Peak Biomass,2022-09-22,T6,R6,S3,Unknown grass,WHOLE,0.12
2022,Peak Biomass,2022-09-22,T6,R6,S3,UnSorted,WHOLE,53.36
2022,Peak Biomass,2022-09-22,T6,R6,S3,Veronica sp.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R6,S4,Conyza canadensis (L.) Cronq.,WHOLE,0.66
2022,Peak Biomass,2022-09-22,T6,R6,S4,Panicum virgatum L.,WHOLE,1158.08
2022,Peak Biomass,2022-09-22,T6,R6,S4,Unknown dicot (*),WHOLE,4.11
2022,Peak Biomass,2022-09-22,T6,R6,S4,UnSorted,WHOLE,29.1
2022,Peak Biomass,2022-09-22,T6,R6,S5,Conyza canadensis (L.) Cronq.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R6,S5,Erigeron annuus (L.) Pers.,WHOLE,1.88
2022,Peak Biomass,2022-09-22,T6,R6,S5,Panicum virgatum L.,WHOLE,1069.6499999999999
2022,Peak Biomass,2022-09-22,T6,R6,S5,Unknown dicot (*),WHOLE,0.2
2022,Peak Biomass,2022-09-22,T6,R6,S5,UnSorted,WHOLE,29.23
2022,Peak Biomass,2022-09-22,T6,R6,S3,Panicum virgatum L.,WHOLE,1388.4299999999998
2022,Peak Biomass,2022-09-22,T6,R6,S3,Erigeron annuus (L.) Pers.,WHOLE,0.16
2022,Peak Biomass,2022-09-22,T6,R6,S3,Conyza canadensis (L.) Cronq.,WHOLE,4.78
2022,Peak Biomass,2022-09-22,T6,R6,S2,Veronica sp.,WHOLE,0.17
2022,Peak Biomass,2022-09-22,T6,R6,S2,UnSorted,WHOLE,47.1
2022,Peak Biomass,2022-09-22,T6,R6,S2,Unknown dicot (*),WHOLE,9.42
2022,Peak Biomass,2022-09-22,T6,R6,S2,Panicum virgatum L.,WHOLE,1063.98
2022,Peak Biomass,2022-09-22,T6,R6,S2,Erigeron annuus (L.) Pers.,WHOLE,0.1
2022,Peak Biomass,2022-09-22,T6,R6,S2,Conyza canadensis (L.) Cronq.,WHOLE,1.45
2022,Peak Biomass,2022-09-22,T6,R6,S1,UnSorted,WHOLE,49.77
2022,Peak Biomass,2022-09-22,T6,R6,S1,Unknown dicot (*),WHOLE,5.4
2022,Peak Biomass,2022-09-22,T6,R6,S1,Panicum virgatum L.,WHOLE,1311.8400000000001
2022,Peak Biomass,2022-09-22,T6,R6,S1,Conyza canadensis (L.) Cronq.,WHOLE,6.18
2022,Peak Biomass,2022-09-22,T6,R5,S5,Veronica sp.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R5,S5,UnSorted,WHOLE,22.95
2022,Peak Biomass,2022-09-22,T6,R5,S5,Unknown dicot (*),WHOLE,0.28
2022,Peak Biomass,2022-09-22,T6,R5,S5,Solidago canadensis L.,WHOLE,12.78
2022,Peak Biomass,2022-09-22,T6,R5,S5,Panicum virgatum L.,WHOLE,1281.19
2022,Peak Biomass,2022-09-22,T6,R5,S5,Conyza canadensis (L.) Cronq.,WHOLE,0.34
2022,Peak Biomass,2022-09-22,T6,R5,S5,Cirsium sp. (*),WHOLE,6.52
2022,Peak Biomass,2022-09-22,T6,R5,S4,Veronica sp.,WHOLE,0.04
2022,Peak Biomass,2022-09-22,T6,R5,S4,UnSorted,WHOLE,17.32
2022,Peak Biomass,2022-09-22,T6,R5,S4,Panicum virgatum L.,WHOLE,1302.04
2022,Peak Biomass,2022-09-22,T6,R5,S4,Conyza canadensis (L.) Cronq.,WHOLE,0.08
2022,Peak Biomass,2022-09-22,T6,R5,S4,Cirsium arvense (L.) Scop.,WHOLE,7.89
2022,Peak Biomass,2022-09-22,T6,R5,S3,Veronica sp.,WHOLE,0.34
2022,Peak Biomass,2022-09-22,T6,R5,S3,UnSorted,WHOLE,26.4
2022,Peak Biomass,2022-09-22,T6,R5,S3,Panicum virgatum L.,WHOLE,1305.48
2022,Peak Biomass,2022-09-22,T6,R5,S3,Conyza canadensis (L.) Cronq.,WHOLE,12.92
2022,Peak Biomass,2022-09-22,T6,R5,S3,Cirsium sp. (*),WHOLE,1.57
2022,Peak Biomass,2022-09-22,T6,R5,S2,UnSorted,WHOLE,25.22
2022,Peak Biomass,2022-09-22,T6,R5,S2,Panicum virgatum L.,WHOLE,1378.13
2022,Peak Biomass,2022-09-22,T6,R5,S2,Conyza canadensis (L.) Cronq.,WHOLE,2.17
2022,Peak Biomass,2022-09-22,T6,R5,S2,Cirsium arvense (L.) Scop.,WHOLE,1.63
2022,Peak Biomass,2022-09-22,T6,R5,S2,Aster pilosus Willd.,WHOLE,6.24
2022,Peak Biomass,2022-09-22,T6,R5,S1,Veronica sp.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R5,S1,UnSorted,WHOLE,30.68
2022,Peak Biomass,2022-09-22,T6,R5,S1,Unknown dicot (*),WHOLE,0.2
2022,Peak Biomass,2022-09-22,T6,R5,S1,Panicum virgatum L.,WHOLE,1291.73
2022,Peak Biomass,2022-09-22,T6,R4,S5,Veronica sp.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R4,S5,UnSorted,WHOLE,41.03
2022,Peak Biomass,2022-09-22,T6,R4,S5,Unknown dicot (*),WHOLE,9.72
2022,Peak Biomass,2022-09-22,T6,R4,S5,Panicum virgatum L.,WHOLE,1461.93
2022,Peak Biomass,2022-09-22,T6,R4,S5,Erigeron annuus (L.) Pers.,WHOLE,1.7
2022,Peak Biomass,2022-09-22,T6,R4,S5,Conyza canadensis (L.) Cronq.,WHOLE,9.49
2022,Peak Biomass,2022-09-22,T6,R4,S4,UnSorted,WHOLE,45.02
2022,Peak Biomass,2022-09-22,T6,R4,S4,Unknown dicot (*),WHOLE,36.83
2022,Peak Biomass,2022-09-22,T6,R4,S4,Panicum virgatum L.,WHOLE,1154.2
2022,Peak Biomass,2022-09-22,T6,R4,S4,Erigeron annuus (L.) Pers.,WHOLE,0.02
2022,Peak Biomass,2022-09-22,T6,R4,S4,Conyza canadensis (L.) Cronq.,WHOLE,0.96
2022,Peak Biomass,2022-09-22,T6,R4,S4,Acer spp.,WHOLE,0.09
2022,Peak Biomass,2022-09-22,T6,R4,S3,Veronica sp.,WHOLE,0.04
2022,Peak Biomass,2022-09-22,T6,R4,S3,UnSorted,WHOLE,14.63
2022,Peak Biomass,2022-09-22,T6,R4,S3,Unknown dicot (*),WHOLE,1.74
2022,Peak Biomass,2022-09-22,T6,R4,S3,Ranunculus abortivus L.,WHOLE,0.14
2022,Peak Biomass,2022-09-22,T6,R4,S3,Panicum virgatum L.,WHOLE,1303.0700000000002
2022,Peak Biomass,2022-09-22,T6,R4,S3,Erigeron annuus (L.) Pers.,WHOLE,3.35
2022,Peak Biomass,2022-09-22,T6,R4,S3,Conyza canadensis (L.) Cronq.,WHOLE,17.9
2022,Peak Biomass,2022-09-22,T6,R4,S2,Veronica persica Poir.,WHOLE,0.1
2022,Peak Biomass,2022-09-22,T6,R4,S2,UnSorted,WHOLE,27.19
2022,Peak Biomass,2022-09-22,T6,R4,S2,Unknown dicot (*),WHOLE,9.58
2022,Peak Biomass,2022-09-22,T6,R4,S2,Taraxacum officinale Weber in,WHOLE,0.2
2022,Peak Biomass,2022-09-22,T6,R4,S2,Ranunculus abortivus L.,WHOLE,0.15
2022,Peak Biomass,2022-09-22,T6,R4,S2,Panicum virgatum L.,WHOLE,1194.3
2022,Peak Biomass,2022-09-22,T6,R4,S2,Erigeron annuus (L.) Pers.,WHOLE,9.11
2022,Peak Biomass,2022-09-22,T6,R4,S2,Aster sagittifolius,WHOLE,0.7
2022,Peak Biomass,2022-09-22,T6,R4,S2,Aster pilosus Willd.,WHOLE,16.93
2022,Peak Biomass,2022-09-22,T6,R4,S1,Veronica persica Poir.,WHOLE,0.01
2022,Peak Biomass,2022-09-22,T6,R4,S1,UnSorted,WHOLE,14.47
2022,Peak Biomass,2022-09-22,T6,R4,S1,Unknown dicot (*),WHOLE,1.56
2022,Peak Biomass,2022-09-22,T6,R4,S1,Solidago canadensis L.,WHOLE,1.65
2022,Peak Biomass,2022-09-22,T6,R4,S1,Ranunculus abortivus L.,WHOLE,0.04
2022,Peak Biomass,2022-09-22,T6,R4,S1,Panicum virgatum L.,WHOLE,1234.7
2022,Peak Biomass,2022-09-22,T6,R4,S1,Erigeron annuus (L.) Pers.,WHOLE,0.9
2022,Peak Biomass,2022-09-22,T6,R4,S1,Cirsium sp. (*),WHOLE,0.03
2022,Peak Biomass,2022-09-22,T6,R4,S1,Aster sagittifolius,WHOLE,19.86
2022,Peak Biomass,2022-09-22,T6,R4,S1,Aster pilosus Willd.,WHOLE,37.36
2022,Peak Biomass,2022-09-21,T6,R1,S1,Aster sagittifolius,WHOLE,11.81
2022,Peak Biomass,2022-09-21,T6,R1,S1,Cirsium sp. (*),WHOLE,0.13
2022,Peak Biomass,2022-09-21,T6,R1,S1,Conyza canadensis (L.) Cronq.,WHOLE,7.4
2022,Peak Biomass,2022-09-21,T6,R1,S1,Erigeron annuus (L.) Pers.,WHOLE,0.66
2022,Peak Biomass,2022-09-21,T6,R1,S1,Panicum virgatum L.,WHOLE,1001.34
2022,Peak Biomass,2022-09-21,T6,R1,S1,Phleum pratense L.,WHOLE,0.12
2022,Peak Biomass,2022-09-21,T6,R1,S1,Ranunculus abortivus L.,WHOLE,0.13
2022,Peak Biomass,2022-09-21,T6,R1,S1,Sonchus sp.,WHOLE,0.47
2022,Peak Biomass,2022-09-21,T6,R1,S1,UnSorted,WHOLE,101.07
2022,Peak Biomass,2022-09-21,T6,R1,S2,Conyza canadensis (L.) Cronq.,WHOLE,0.06
2022,Peak Biomass,2022-09-21,T6,R1,S2,Juncus tenuis Willd.,WHOLE,0.51
2022,Peak Biomass,2022-09-21,T6,R1,S2,Panicum virgatum L.,WHOLE,1108.36
2022,Peak Biomass,2022-09-21,T6,R1,S2,Ranunculus abortivus L.,WHOLE,0.07
2022,Peak Biomass,2022-09-21,T6,R1,S2,Unknown dicot (*),WHOLE,26.96
2022,Peak Biomass,2022-09-21,T6,R1,S2,UnSorted,WHOLE,60.89
2022,Peak Biomass,2022-09-21,T6,R1,S3,Cirsium sp. (*),WHOLE,0.09
2022,Peak Biomass,2022-09-21,T6,R1,S3,Erigeron annuus (L.) Pers.,WHOLE,2.92
2022,Peak Biomass,2022-09-21,T6,R1,S3,Panicum virgatum L.,WHOLE,1001.21
2022,Peak Biomass,2022-09-21,T6,R1,S3,Prunus serotina Ehrh. (*),WHOLE,7.9
2022,Peak Biomass,2022-09-21,T6,R1,S3,Ranunculus abortivus L.,WHOLE,0.05
2022,Peak Biomass,2022-09-21,T6,R1,S3,Unknown dicot (*),WHOLE,3.59
2022,Peak Biomass,2022-09-21,T6,R1,S3,Unknown grass,WHOLE,5.36
2022,Peak Biomass,2022-09-21,T6,R1,S3,UnSorted,WHOLE,45.17
2022,Peak Biomass,2022-09-21,T6,R1,S4,Aster sagittifolius,WHOLE,0.94
2022,Peak Biomass,2022-09-21,T6,R1,S4,Bromus sp. (*),WHOLE,0.19
2022,Peak Biomass,2022-09-21,T6,R1,S4,Erigeron annuus (L.) Pers.,WHOLE,0.27
2022,Peak Biomass,2022-09-21,T6,R1,S4,Panicum virgatum L.,WHOLE,860.48
2022,Peak Biomass,2022-09-21,T6,R1,S4,Ranunculus abortivus L.,WHOLE,0.03
2022,Peak Biomass,2022-09-21,T6,R1,S4,Trifolium repens L.,WHOLE,0.33
2022,Peak Biomass,2022-09-21,T6,R1,S4,Unknown dicot (*),WHOLE,24.12
2022,Peak Biomass,2022-09-21,T6,R1,S4,UnSorted,WHOLE,13.53
